anciennete_mois,facture_moyenne,nb_reclamations_12m,nb_appels_support_3m,satisfaction,nb_options,freq_portail_mois,variation_facture_3m,delai_resolution_incident_h,score_fidelite,region,mode_paiement,churn
25,57.5,9,8,7.32,5,6,71.41,72.27,84,Nord,prelevement,0
44,40.66,17,9,3.26,9,6,20.89,46.5,43,Est,virement,0
8,138.69,18,20,4.88,3,12,49.29,63.34,9,Nord,virement,0
58,99.66,17,17,5.25,10,7,-8.68,10.28,23,Est,prelevement,1
13,184.1,6,2,7.97,8,32,-23.67,50.94,9,Sud,prelevement,0
36,157.69,17,14,7.88,3,44,11.1,39.75,55,Ouest,virement,1
57,137.72,13,18,2.42,8,5,2.55,10.03,32,Est,virement,1
68,116.34,14,19,9.88,7,23,5.88,87.0,53,Sud,prelevement,1
79,23.04,17,7,3.63,7,19,13.47,35.24,66,Ouest,virement,1
49,54.22,3,6,1.87,9,19,22.33,12.53,54,Sud,virement,0
33,125.51,15,15,8.48,8,28,44.07,46.08,66,Nord,virement,0
76,37.54,8,22,8.8,7,3,7.69,53.44,2,Nord,prelevement,1
14,125.46,3,22,8.78,2,38,-2.86,72.67,42,Est,virement,0
12,138.46,5,15,3.78,4,16,42.41,36.94,82,Ouest,carte,0
76,168.74,16,6,4.62,8,39,-21.82,91.03,58,Nord,carte,1
74,112.37,14,19,5.79,5,27,36.03,47.58,6,Sud,virement,1
80,130.25,7,15,8.25,0,12,64.39,93.32,4,Nord,carte,1
35,23.81,0,13,7.3,9,17,-10.95,53.2,49,Sud,prelevement,0
65,110.91,0,9,1.58,7,44,"49,15",30.26,0,Ouest,carte,0
37,207.13,4,5,6.75,43.9,22,65.14,95.73,75,Ouest,carte,0
58,124.44,11,13,9.99,10,23,58.92,50.44,64,Ouest,carte,1
20,143.57,6,2,3.99,10,11,-6.0,35.99,50,Nord,virement,0
13,78.18,,20,1.97,10,6,54.3,48.47,55,Sud,carte,0
92,56.73,0,12,5.39,3,7,50.69,73.82,92,Sud,carte,1
83,192.86,17,21,6.71,NA,35,11.37,30.74,98,Ouest,carte,1
86,197.99,15,10,1.73,2,14,71.28,9.16,87,Est,virement,1
31,197.09,17,1,5.84,8,36,41.78,62.05,53,Nord,,1
30,60.5,0,15,6.36,8,40,-19.83,1.44,92,Nord,prelevement,0
26,18.86,17,15,2.99,0,38,19.72,95.22,75,Nord,prelevement,0
48,207.72,17,16,9.2,10,20,29.08,70.16,74,Nord,virement,1
51,20.4,2,6,7.6,4,12,6.74,27.76,54,Ouest,carte,0
19,87.69,13,12,6.5,5,40,0.25,88.35,67,Nord,prelevement,0
86,57.21,8,9,7.48,3,37,-12.77,34.68,13,Ouest,NA,1
89,27.75,17,6,4.45,7,2,1.13,,29,Sud,prelevement,1
82,149.37,2,3,6.34,2,38,7.78,71.48,62,Est,virement,1
83,50.87,,15,6.43,6,40,17.32,23.72,42,Est,carte,1
57,64.61,5,2,5.19,3,5,74.79,25.53,8,Est,virement,0
40,115.53,2,4,5.33,2,34,63.43,40.01,87,Nord,prelevement,0
38,28.44,2,6,9.6,4,36,-2.9,94.92,73,Sud,prelevement,0
7,124.7,10,8,8.79,6,7,14.22,53.16,68,Est,prelevement,0
95,82.58,14,5,3.0,1,21,-0.29,94.92,11,Est,virement,1
39,136.37,3,9,9.19,0,12,-2.24,86.93,1,Est,carte,0
27,58.38,2,3,2.16,7,37,41.28,19.08,90,Ouest,virement,0
74,25.13,8,14,8.95,3,20,14.68,48.99,82,Sud,carte,1
5,170.24,10,21,7.26,8,42,19.71,24.56,61,Nord,virement,0
93,78.48,14,15,7.68,2,25,44.25,64.9,80,Ouest,virement,1
85,193.82,3,7,8.37,6,23,56.64,72.11,9,Sud,prelevement,1
28,152.72,1,4,8.57,4,30,30.4,82.48,69,Ouest,prelevement,0
34,178.48,3,2,3.36,10,42,74.24,69.53,97,Sud,carte,0
28,151.7,6,2,6.34,0,8,12.28,72.63,16,Est,prelevement,0
22,187.4,17,3,2.85,1,32,3.44,62.66,42,Ouest,prelevement,0
93,87.05,11,11,8.84,5,40,-17.43,76.45,74,Sud,virement,1
66,29.59,16,0,9.92,5,11,66.94,90.66,81,Nord,prelevement,1
68,184.94,16,2,8.06,5,41,62.37,5.66,28,Ouest,carte,1
64,55.69,12,8,5.69,8,33,53.14,73.52,67,Ouest,prelevement,1
31,151.85,1,9,5.47,4,5,-30.93,95.36,80,Est,prelevement,0
52,180.21,10,17,3.73,5,35,52.94,83.21,20,Nord,prelevement,1
18,21.4,14,3,8.1,7,32,-16.7,10.17,85,Nord,prelevement,0
8,131.99,15,11,5.99,2,3,41.45,84.34,41,Est,carte,0
87,85.99,,9,4.23,4,21,55.07,19.02,41,Est,prelevement,1
52,97.52,2,NA,9.52,8,27,-5.52,88.17,97,Ouest,virement,0
88,103.45,13,7,1.14,6,44,42.49,86.66,15,Ouest,carte,1
95,102.29,9,11,4.24,7,8,-17.31,31.76,94,Ouest,virement,1
52,173.52,18,17,8.37,6,33,61.94,4.55,49,Sud,prelevement,1
65,77.42,9,4,1.72,0,15,-33.14,26.73,22,Nord,virement,1
51,62.35,11,0,5.84,9,42,42.69,46.67,90,Est,carte,0
84,91.51,8,9,7.78,2,9,35.13,18.09,37,Ouest,prelevement,1
56,102.09,8,13,2.85,0,21,-6.41,55.27,100,Nord,virement,0
19,93.12,11,16,6.08,2,28,74.82,34.12,87,Nord,virement,0
87,13.75,7,15,6.39,7,3,24.14,23.96,90,Ouest,prelèvement,1
69,16.31,15,7,2.27,8,26,-21.24,6.99,37,Ouest,prelevement,1
48,206.64,6,5,9.71,4,18,64.99,18.0,34,Est,prelevement,1
51,95.59,14,4,6.43,3,6,24.43,48.73,49,Est,virement,1
4,218.48,13,5,4.38,10,3,5.84,18.57,72,Ouest,carte,0
39,204.15,12,5,4.23,8,40,19.11,35.72,71,Nord,prelevement,1
20,84.81,6,0,4.07,3,34,-3.44,1.42,19,Est,prelevement,0
95,41.9,3,11,7.55,9,1,62.72,88.15,64,Est,carte,1
56,203.75,13,21,4.59,3,39,66.1,72.68,33,Est,prelevement,1
34,31.25,7,14,7.87,2,0,4.22,28.84,56,Ouest,prelevement,0
26,48.57,17,9,8.37,7,18,43.95,90.13,38,Sud,virement,0
9,88.49,15,9,4.96,8,40,-32.15,3.54,97,Est,virement,0
61,59.86,11,5,3.12,1,34,-3.36,91.84,2,Sud,virement,1
54,189.44,6,7,4.61,6,26,23.84,40.23,13,Ouest,prelevement,1
60,112.31,6,2,4.43,8,34,10.91,20.82,89,Sud,prelevement,1
30,57.48,12,2,8.02,1,21,-3.07,54.4,24,Ouest,prelevement,0
8,29.27,10,18,5.41,1,25,-14.14,25.01,93,,prelevement,0
69,168.3,0,3,9.33,5,34,48.88,93.35,24,Ouest,prelevement,1
52,95.31,13,12,7.12,5,0,12.4,36.24,8,Ouest,virement,1
25,189.35,11,2,1.81,5,40,61.76,45.69,39,Ouest,carte,0
43,51.04,17,4,1.77,4,0,42.73,90.86,"7,00",Est,carte,0
86,160.3,9,17,3.79,6,30,30.91,54.43,71,Sud,carte,1
46,70.89,2,17,9.03,7,15,72.29,85.8,59,Est,prelevement,0
"56,00",24.02,16,18,5.57,2,27,-29.31,7.47,100,Est,virement,0
79,186.07,14,8,1.06,6,45,72.01,22.95,52,Sud,virement,1
13,98.95,6,10,4.08,7,6,50.26,36.99,60,Est,carte,0
63,180.82,3,6,2.7,1,32,-19.83,25.18,93,Sud,carte,1
2,210.21,5,3,8.03,1,33,55.91,73.26,35,Est,carte,0
35,193.95,15,16,2.26,3,19,46.0,88.11,86,Sud,prelevement,1
23,46.02,15,19,9.13,8,21,26.23,,63,Ouest,prelevement,0
22,29.29,2,17,9.94,7,37,27.09,12.89,15,Sud,prelevement,0
74,188.65,16,16,8.39,7,4,-25.64,63.38,73,Ouest,virement,1
58,188.04,7,16,9.86,9,28,-26.59,65.8,59,Sud,carte,1
7,85.49,5,15,3.45,10,37,64.9,30.64,46,Nord,prelevement,0
96,154.35,1,2,1.39,9,13,61.12,8.91,94,Est,prelevement,1
30,172.62,11,20,8.79,4,27,42.78,65.26,9,Ouest,prelevement,0
47,209.6,6,5,5.34,6,19,71.43,61.28,52,Ouest,virement,1
80,144.33,4,12,5.6,4,40,37.7,90.71,3,Sud,carte,1
94,213.6,17,6,5.4,8,6,9.84,59.09,26,Sud,prelevement,1
60,157.81,1,20,2.0,3,42,55.11,57.07,59,Ouest,carte,1
40,204.01,9,1,8.42,2,26,54.72,60.9,88,Sud,virement,1
73,193.14,14,16,2.66,8,0,-31.97,93.68,99,Sud,prelevement,1
48,189.56,0,7,8.4,2,7,12.66,10.61,60,Est,carte,0
73,109.33,16,4,8.23,4,37,-1.8,25.58,66,Ouest,prelevement,1
80,206.54,11,2,8.27,10,41,-21.12,23.55,54,Est,virement,1
28,62.99,14,4,7.78,5,45,-29.35,29.61,49,Nord,carte,0
79,99.01,4,13,4.69,6,39,22.8,47.99,91,Nord,carte,1
91,200.55,3,2,8.95,1,5,26.54,47.89,34,Nord,prelevement,1
68,48.81,13,21,4.31,10,4,-5.79,21.14,82,Est,carte,1
2,171.07,16,9,2.85,10,33,52.23,2.56,15,Sud,virement,0
64,53.08,3,1,8.18,9,30,-13.22,81.25,20,Ouest,virement,0
75,94.7,6,22,4.72,0,19,23.55,28.07,16,Est,virement,1
67,123.86,3,10,6.22,1,30,-32.49,14.67,66,Nord,carte,1
55,16.8,3,19,5.41,5,41,36.71,49.96,48,Nord,carte,0
81,61.77,13,12,5.94,10,9,32.06,50.4,75,Nord,virement,1
8,89.63,13,4,5.0,9,37,-18.94,60.69,39,Ouest,prelevement,0
9,78.31,11,21,2.95,0,34,29.34,17.61,0,Sud,prelevement,0
78,169.74,18,13,2.79,9,14,55.93,58.66,73,Ouest,prelevement,1
23,54.09,0,16,9.98,4,35,43.46,28.4,70,Sud,prelevement,0
59,159.57,13,3,3.58,7,41,-15.98,26.72,77,Nord,prelevement,1
77,75.69,7,6,7.79,1,33,18.24,70.15,38,Nord,prelevement,1
31,40.31,18,16,7.08,5,34,71.15,45.31,56,Sud,carte,0
14,187.38,7,10,1.64,5,8,-23.06,73.25,71,Est,virement,0
10,121.05,17,19,4.14,5,20,-18.59,36.28,42,Ouest,prelevement,0
74,216.35,10,22,8.58,4,25,6.92,29.38,78,Sud,virement,1
75,104.46,17,12,4.39,8.97,41,3.34,59.31,60,Est,virement,1
52,19.79,14,1,4.69,3,37,-23.45,91.32,70,Est,carte,0
35,32.72,5,2,9.18,5,16,-5.15,69.7,74,Ouest,virement,0
25,171.64,1,19,7.89,4,44,54.35,15.72,64,Ouest,prelevement,0
32,200.75,16,16,2.85,4,42,29.22,86.62,48,Sud,virement,1
14,216.76,10,4,4.79,5,44,-0.85,19.03,24,Est,virement,0
9,162.95,13,16,6.66,9,41,27.85,88.55,87,Nord,carte,0
10,57.82,0,9,4.7,7,33,,36.44,22,Nord,carte,0
67,164.57,12,2,4.51,0,29,29.57,20.0,64,Sud,carte,1
19,114.76,11,16,5.69,9,44,-27.36,46.42,75,Sud,prelevement,0
7,182.76,3,17,2.12,7,9,-5.11,92.38,82,Ouest,virement,0
53,106.68,18,13,9.67,3,42,69.16,78.46,21,Sud,prelevement,1
77,13.76,18,10,9.1,8,43,-12.02,81.98,39,Ouest,virement,1
50,105.67,11,12,NA,0,44,26.94,75.65,9,Nord,carte,0
14,92.75,2,13,9.13,4,42,-3.07,13.66,69,Sud,virement,0
47,175.02,7,19,1.48,9,32,32.37,87.25,41,Nord,prelevement,1
25,56.45,11,0,4.9,9,28,-23.96,9.38,52,Sud,carte,0
93,214.66,11,19,9.95,10,3,42.42,14.68,83,Est,carte,1
96,53.37,13,11,5.23,6,25,-12.9,11.64,41,Nord,carte,1
50,44.92,13,17,6.35,9,18,29.93,26.07,1,Sud,prelevement,0
37,219.1,3,3,2.47,1,45,-3.3,94.04,83,Nord,carte,0
26,57.68,3,17,4.41,6,34,46.97,37.02,46,Sud,carte,0
84,33.17,5,7,6.84,2,NA,8.53,21.04,64,Ouest,virement,1
57,84.41,4,14,4.09,10,25,43.66,94.7,98,Sud,prelevement,0
14,86.96,13,2,4.3,6,44,21.01,1.62,49,Nord,prelevement,0
89,204.99,17,3,2.48,2,36,51.6,37.4,50,Sud,prelevement,1
49,139.42,5,20,3.46,2,"43,00",-20.42,63.47,59,Est,carte,0
14,61.81,3,18,4.47,5,30,-8.76,,33,Est,prelevement,0
10,44.14,14,18,3.47,3,38,10.99,1.3,89,Sud,prelevement,0
30,122.67,2,13,9.16,0,33,1.57,82.53,91,Est,carte,0
17,136.05,8,9,3.02,1,26,15.88,58.55,75,Nord,virement,0
78,33.69,9,9,9.21,2,22,1.61,31.05,96,Ouest,prelevement,1
82,212.57,18,20,8.44,8,15,25.36,52.06,72,Sud,carte,1
78,136.03,16,10,4.88,7,31,23.56,83.55,34,Nord,carte,1
88,20.16,17,7,5.44,0,34,50.39,11.61,91,Ouest,carte,1
7,180.85,12,13,9.52,1,43,17.91,93.64,76,Sud,prelevement,0
19,73.04,11,12,4.71,10,18,1.1,39.16,3,Sud,virement,0
62,202.17,14,14,8.58,9,4,5.46,41.92,18,Ouest,prelevement,1
23,116.33,12,4,2.69,6,26,41.83,65.78,75,Est,virement,0
59,111.83,7,22,2.81,3,45,14.84,33.97,75,Sud,virement,1
94,27.2,11,1,2.76,5,40,14.29,94.44,2,Est,prelevement,1
65,63.96,15,17,1.79,0,27,40.57,84.83,91,Nord,prelèvement,1
52,177.54,13,14,2.16,8,17,-16.92,46.81,6,Sud,virement,1
64,58.45,0,12,2.74,8,40,2.48,40.38,87,Ouest,prelevement,0
83,178.34,5,20,9.12,6,34,57.81,6.18,8,Ouest,carte,1
49,197.5,7,20,7.93,,42,71.51,4.79,72,Ouest,virement,1
13,52.29,15,2,5.21,2,11,5.09,86.4,27,Est,prelèvement,0
11,130.69,2,0,7.13,10,38,48.01,95.15,45,Nord,virement,0
11,70.37,7,10,6.05,7,39,-15.87,54.83,75,Ouest,virement,0
28,33.99,9,18,2.4,9,10,49.66,20.91,25,Sud,carte,0
27,12.05,0,4,9.26,9,21,-5.41,87.03,56,Ouest,prelevement,0
53,101.76,6,16,1.47,6,40,57.83,74.83,55,Ouest,virement,0
78,81.89,10,19,3.04,9,26,65.25,41.2,64,Ouest,carte,1
94,212.29,2,21,7.69,10,45,-25.28,31.37,42,Ouest,prelevement,1
80,151.04,16,14,9.43,9,45,23.68,12.22,41,Ouest,prelevement,1
36,130.31,13,3,8.3,1,1,3.36,69.89,44,Ouest,prelevement,0
43,213.31,15,16,6.83,10,8,"13,31",14.63,78,Sud,prelevement,1
52,81.64,0,0,8.93,2,36,74.93,88.19,98,Nord,prelevement,0
7,54.79,17,20,2.48,4,6,38.71,56.48,31,Sud,virement,0
51,113.2,9,13,3.34,4,32,58.8,36.55,2,Ouest,prelevement,0
94,140.09,0,6,6.83,0,14,-9.88,23.34,2,Ouest,virement,1
6,114.5,9,6,1.7,8,4,53.18,47.16,69,Sud,carte,0
82,207.0,2,14,9.96,7,1,32.33,91.5,85,Est,prelevement,1
90,26.92,11,13,7.89,0,21,61.64,60.29,56,,virement,1
36,137.17,17,10,3.63,5,24,3.05,3.06,28,Ouest,carte,1
93,38.74,8,15,1.62,9,21,53.68,22.18,21,Ouest,carte,1
6,100.94,14,21,9.89,8,32,69.53,42.04,83,Nord,prelevement,0
53,188.97,7,12,7.51,1,3,-9.31,46.62,82,Ouest,virement,1
90,75.29,14,18,4.33,2,41,-26.24,53.02,64,Sud,prelevement,1
82,,11,19,6.43,0,16,-34.41,24.06,3,Est,carte,1
51,158.62,8,8,4.03,0,13,-20.48,75.74,6,Est,carte,1
72,215.24,4,2,2.8,1,9,-2.99,15.27,65,Nord,prelevement,1
84,NA,2,9,3.79,,6,14.85,56.39,43,Sud,prelevement,1
93,94.61,0,8,8.0,0,37,-11.68,72.97,92,Ouest,carte,1
87,186.4,6,4,4.83,2,32,11.05,84.42,89,Ouest,carte,1
8,22.56,17,1,5.44,9,6,43.8,34.12,46,Est,prelevement,0
16,155.28,1,19,6.02,8,10,2.91,16.37,26,Est,carte,0
47,57.31,11,14,7.03,1,41,48.69,78.73,44,Sud,prelevement,0
96,98.6,7,13,9.54,4,16,68.1,81.35,68,Est,prelevement,1
23,83.44,12,19,6.23,0,22,11.33,12.88,51,Nord,prelevement,0
69,41.52,10,21,1.27,6,33,32.12,32.54,50,Ouest,carte,1
83,197.75,7,4,4.93,7,39,-10.92,77.72,48,Nord,virement,1
92,72.83,12,4,7.05,6,45,27.98,48.04,40,Est,prelevement,1
65,122.95,13,2,9.48,9,11,74.39,,19,Nord,carte,1
41,180.15,7,10,9.16,8,0,-7.41,14.03,83,Est,prelevement,1
70,199.23,16,19,1.91,1,9,-15.31,40.96,14,Ouest,virement,1
30,176.95,15,16,1.02,6,7,-2.97,25.44,97,Nord,carte,1
68,156.27,18,18,1.61,0,10,-9.4,53.71,68,Ouest,prelevement,1
61,59.07,11,8,2.7,10,9,46.41,51.97,44,Sud,carte,0
2,74.58,12,10,3.68,0,7,46.79,13.11,66,Sud,prelevement,0
31,128.8,10,5,2.41,7,39,42.82,12.48,78,Ouest,virement,0
68,101.54,11,22,9.86,3,25,16.32,75.41,39,Nord,prelevement,1
31,119.63,0,9,3.68,0,17,47.34,21.23,40,Est,prelevement,0
17,189.18,7,38.24,3.4,5,26,-28.47,79.8,25,Sud,carte,0
80,201.88,16,1,9.83,8,25,21.67,64.05,49,Ouest,prelevement,1
66,108.4,11,15,5.05,4,13,66.55,86.33,20,Ouest,virement,1
81,199.11,0,2,2.4,1,8,65.16,80.72,91,Est,prelevement,1
52,87.06,17,14,4.36,8,22,-12.35,60.34,69,Est,virement,1
74,142.51,2,21,3.08,6,34,39.79,93.3,59,Nord,carte,1
67,143.53,14,8,8.79,9,23,-14.9,79.2,62,Sud,virement,1
39,185.54,16,,4.25,4,40,42.8,88.83,98,Ouest,prelevement,1
58,61.77,6,13,2.73,0,4,42.25,59.12,57,Nord,virement,0
76,69.46,4,1,4.47,8,29,4.02,60.54,77,Est,carte,1
67,114.93,11,4,9.68,6,29,29.03,18.51,99,Est,carte,1
25,175.43,7,4,8.35,6,34,-13.52,33.15,79,Est,prelevement,0
90,129.13,3,11,4.26,4,12,"64,57",93.43,21,Sud,virement,1
5,120.61,17,1,3.47,6,23,57.23,92.0,88,Nord,virement,0
39,180.57,12,22,6.23,7,0,2.42,10.65,87,Ouest,prelevement,1
11,48.34,13,"13,00",5.42,6,31,72.08,65.17,46,Ouest,prelevement,0
86,153.27,4,16,6.93,10,45,71.84,19.51,73,Est,carte,1
33,60.07,15,10,3.74,6,22,55.32,60.77,29,Est,carte,0
39,169.38,18,3,5.42,3,3,73.55,93.46,3,Ouest,carte,1
13,214.17,3,22,3.46,5,17,67.46,92.99,69,Est,carte,0
21,139.61,15,5,1.2,0,25,9.33,53.55,25,Ouest,prelevement,0
50,153.41,11,0,8.47,3,12,34.97,77.56,72,Sud,prelevement,1
57,131.69,2,9,2.82,9,33,47.87,76.3,19,Ouest,prelevement,0
17,131.91,12,15,2.41,1,7,73.36,12.66,86,Ouest,prelevement,0
33,14.94,14,20,5.32,7,38,20.04,77.24,61,Nord,virement,0
16,19.92,8,13,7.01,1,29,-13.38,1.95,36,Est,carte,0
95,78.39,7,6,1.27,8,29,13.12,89.66,17,Nord,carte,1
14,77.22,0,17,6.05,0,15,-25.14,35.31,87,Ouest,prelevement,0
19,96.51,13,5,4.65,6,18,-10.48,33.65,74,Nord,prelevement,0
52,215.97,4,3,4.65,3,5,-9.53,24.61,12,Est,prelevement,1
28,71.52,12,9,9.99,5,23,7.81,39.08,66,Est,prelevement,0
71,162.81,10,4,9.01,6,0,65.36,43.17,82,Sud,carte,1
18,175.0,1,20,1.77,7,24,37.68,19.4,33,Nord,carte,0
7,68.66,2,22,6.0,10,15,-21.2,88.82,80,Est,prelevement,0
54,132.02,15,12,9.77,6,25,-22.16,53.25,1,Sud,prelevement,1
87,137.43,8,5,5.59,2,40,56.19,16.0,80,Sud,NA,1
53,54.66,18,11,4.62,7,14,41.81,26.62,65,Est,prelevement,1
37,156.31,0,20,2.43,6,33,1.4,25.13,8,Sud,virement,0
53,90.58,7,15,5.35,0,12,31.76,18.5,94,Sud,carte,0
47,80.23,5,0,5.62,5,NA,10.96,11.96,52,Nord,virement,0
84,159.65,1,18,8.82,7,44,NA,35.33,53,Est,carte,1
37,1299.58,13,0,2.77,10,34,12.18,91.51,96,Est,virement,1
60,15.58,4,20,4.5,0,25,34.05,85.92,67,Est,carte,0
18,182.91,3,15,1.37,9,39,66.46,47.87,4,Nord,prelevement,0
41,159.93,9,14,3.44,4,13,46.47,10.61,87,Est,prelevement,0
9,101.34,15,10,1.25,3,13,-17.82,46.61,94,Est,carte,0
56,89.26,16,22,2.94,6,22,-12.26,71.68,92,Nord,virement,1
95,14.23,12,17,7.8,7,36,-4.59,91.19,4,Ouest,carte,1
54,124.6,6,11,1.63,4,45,31.46,76.84,66,NA,carte,0
25,212.01,11,0,6.06,5,5,-25.26,40.46,75,Nord,carte,0
33,122.25,2,19,4.61,8,1,23.99,3.46,24,Nord,virement,0
55,59.6,4,6,2.28,3,38,74.06,35.25,44,Ouest,carte,0
36,176.19,4,12,3.66,7,6,48.96,64.27,1,Nord,prelevement,0
62,147.03,17,0,2.71,0,38,71.47,48.69,22,Ouest,virement,1
82,62.98,16,19,1.13,9,28,40.79,66.54,81,Sud,virement,1
89,91.35,7,21,7.09,3,38,6.02,1.45,87,Sud,prelevement,1
92,132.14,15,19,7.5,3,10,-17.75,85.95,80,Est,prelevement,1
2,114.03,10,9,8.61,2,3,20.3,90.56,88,Est,prelevement,0
59,38.43,6,11,6.46,9,1,50.27,51.81,7,Ouest,prelevement,0
19,62.38,14,20,2.74,5,15,64.14,6.8,93,Nord,virement,0
71,86.05,15,11,6.42,5,4,68.71,56.64,43,Nord,carte,1
88,148.15,16,10,1.64,1,7,39.26,62.29,77,Nord,carte,1
59,86.58,4,6,34.13,4,14,5.83,52.8,38,Sud,virement,0
78,209.83,3,12,6.27,9,5,47.92,58.56,21,Nord,virement,1
88,152.53,5,3,7.04,10,3,39.14,89.27,6,Ouest,prelevement,1
65,166.54,11,13,9.43,8,24,-1.42,55.32,20,Est,prelèvement,1
3,114.45,9,5,7.41,9,37,56.26,76.09,66,Sud,carte,0
85,34.88,13,1,8.05,9,12,59.72,8.33,87,Nord,carte,1
57,215.35,16,8,6.48,9,14,-16.95,22.34,81,Ouest,carte,1
44,83.03,4,20,2.13,7,28,-21.77,52.53,31,Nord,virement,0
61,127.55,8,5,8.99,7,26,-16.38,34.87,10,Est,carte,1
3,137.29,1,15,2.64,3,18,41.42,23.07,24,Sud,carte,0
63,94.78,13,21,7.49,3,36,59.71,16.22,76,Sud,carte,1
28,39.55,15,3,2.16,0,4,37.4,18.99,98,Est,virement,0
45,140.07,6,18,4.45,7,33,1.96,30.19,64,Est,carte,0
65,219.82,17,22,2.99,8,24,-30.46,2.71,96,Nord,carte,1
