distance_km,poids_kg,volume_m3,cout_transport,delai_preparation_h,nb_points_passage,score_qualite_route,meteo_risque,promesse_delai_h,jour_semaine,transporteur,priorite,retard
1150.28,31.58,0.34,166.108221,69.81,12,13.27,8.01,96.87,2,T1,express,0
3156.9,43.3,0.66,379.247886,2.56,3,97.67,38.44,180.66,7,T2,standard,0
1417.44,30.1,1.86,107.958115,68.41,18,45.57,82.92,87.32,7,T2,express,1
2568.7,106.32,0.05,413.727844,6.18,13,14.8,84.73,80.89,1,T2,express,0
663.28,19.71,1.23,375.536782,5.5,14,93.59,68.03,163.5,3,T2,standard,1
1950.25,4.56,2.91,8.218113,32.21,3,37.01,20.96,125.98,6,T3,standard,1
2760.31,12.03,1.93,279.481288,38.76,3,43.34,57.34,113.48,3,T2,express,0
177.22,25.56,0.88,103.594533,49.07,9,28.28,0.1,25.29,7,T3,express,0
2848.79,105.51,2.31,302.82337,16.71,12,81.6,36.11,27.32,5,T1,express,0
1613.59,72.27,2.04,74.174181,8.94,7,41.93,NA,50.63,4,T3,express,0
2599.01,25.95,2.91,177.244029,38.47,5,47.0,20.56,108.06,3,T1,express,0
2386.87,56.97,0.57,15.230892,45.69,4,93.96,52.1,158.58,5,T1,standard,0
3157.92,76.49,3.33,275.06737,43.74,6,50.15,97.57,83.5,3,T1,standard,1
1800.46,3.43,1.1,222.211528,63.97,17,40.29,76.87,103.56,5,T3,standard,0
2916.84,69.35,0.54,0,29.93,15,51.32,2.32,238.05,3,T2,standard,0
2302.17,74.08,0.34,99.882559,14.88,6,77.29,29.02,204.7,1,T1,express,1
2330.93,0.63,2.77,397.392521,17.77,10,64.96,54.47,199.31,3,T1,standard,1
1454.64,57.74,0.55,372.264585,53.23,12,30.55,69.27,19.46,5,T1,express,1
2710.53,109.65,2.67,0,14.15,16,12.69,25.52,171.84,2,T2,standard,0
1951.45,42.71,1.52,0,59.37,6,76.06,30.43,96.14,6,T1,standard,1
2160.82,91.76,2.1,270.319178,14.78,11,94.01,57.41,20.9,4,T2,standard,0
1280.47,85.06,2.43,434.671416,8.95,2,83.59,51.28,131.54,3,T2,express,0
2721.07,75.07,1.99,224.812588,44.41,10,42.09,96.23,163.2,3,T1,express,0
1202.15,25.61,1.66,413.047563,22.96,2,29.7,22.54,189.41,3,T1,standard,0
1339.56,73.57,2.05,422.133901,4.77,10,46.26,84.57,120.12,2,T2,express,0
599.46,33.21,1.55,426.785873,8.21,9,40.76,28.77,146.7,7,T1,express,0
598.05,7.24,0.27,176.89768,41.44,14,40.28,84.43,119.85,3,T1,standard,1
3080.16,96.43,2.43,246.256074,"5,31",4,51.4,14.98,82.84,3,T1,standard,0
3093.37,98.54,1.52,22.010334,63.35,12,73.96,84.1,60.11,1,T3,express,0
2960.94,68.05,0.39,330.353224,63.24,1,96.57,68.41,54.31,4,T2,express,0
1680.47,7.47,0.64,6.51385,36.26,3,80.49,26.31,215.26,2,T3,express,1
2200.17,38.82,1.91,269.781178,12.84,9,30.03,41.77,147.05,6,T1,standard,0
2852.34,108.79,0.85,209.525301,43.58,17,41.08,0.78,227.3,5,T3,express,0
1581.15,24.79,0.91,92.900202,4.06,16,85.22,70.64,48.68,5,T3,standard,1
376.03,57.61,3.13,126.63605,8.39,13,44.09,41.22,143.24,6,T1,standard,0
858.48,110.13,3.28,355.998218,37.11,9,66.06,65.39,111.63,,T2,standard,0
2170.44,72.37,0.96,388.000803,71.7,7,7.38,89.7,145.68,7,T2,standard,0
2650.94,108.34,0.57,174.209135,65.31,10,98.89,41.53,88.29,6,T2,standard,1
268.65,85.43,2.99,115.572665,58.28,4,51.39,91.41,139.72,7,T1,standard,1
1460.69,116.68,2.4,416.006419,29.43,18,58.78,12.81,98.41,5,T3,standard,1
992.62,114.61,3.48,56.300566,10.61,1,9.97,94.68,165.22,5,T2,express,0
814.91,118.98,2.99,39.189257,18.1,14,73.14,70.9,97.5,7,T1,standard,1
419.38,64.33,1.58,269.630502,5.32,11,79.78,9.21,102.07,2,T1,standard,1
744.29,111.74,1.01,116.658878,49.88,3,13.21,12.13,209.7,7,T2,standard,1
1788.79,103.57,0.59,224.443202,33.26,1,86.91,33.62,160.2,6,T3,standard,1
2698.85,20.42,2.79,404.027462,31.12,11,84.1,50.13,162.25,4,T2,standard,1
2343.46,50.06,0.68,329.251649,11.86,14,31.75,13.67,192.53,5,T3,standard,1
243.41,117.17,1.95,164.2066,22.94,11,55.48,15.11,68.84,1,T3,express,0
549.71,23.75,0.65,171.358686,51.89,4,47.85,46.09,239.0,3,T3,express,0
2388.47,78.18,0.37,370.128093,18.19,7,88.6,79.56,,3,T2,express,0
1300.04,113.91,0.35,325.436959,27.38,3,77.22,11.69,57.92,3,T1,express,0
2501.1,0.45,2.79,14.261489,17.1,7,64.39,21.85,175.33,6,T1,express,1
784.85,57.01,1.64,393.462704,6.32,12,34.38,51.43,124.29,4,T1,standard,0
1050.67,117.26,0.62,263.277363,29.71,15,39.21,81.97,228.84,5,T2,express,0
3142.8,99.0,1.21,359.952123,63.33,3,69.35,29.31,98.67,2,T2,standard,1
2468.53,49.63,2.19,106.680937,11.51,11,12.56,25.25,220.94,5,T1,express,1
848.21,98.14,2.82,176.139756,66.07,10,16.06,5.14,32.06,1,T1,standard,1
2542.2,59.79,1.03,145.845614,12.74,15,89.2,22.73,196.66,6,T1,express,0
2154.02,51.07,2.4,96.269385,36.42,9,2.46,36.34,108.14,4,T1,standard,0
2293.02,48.86,1.13,437.43532,23.89,1,83.32,84.87,70.27,5,T2,express,1
2432.47,49.66,0.8,568.347607,36.83,6,56.85,41.91,89.67,3,T2,standard,1
2303.01,31.56,3.21,403.644477,65.28,1,23.21,93.26,118.48,6,T3,standard,1
2051.61,47.54,2.11,205.49836,53.53,15,66.21,71.94,181.13,1,T3,standard,1
3103.44,51.75,1.33,227.88788,62.62,11,18.07,20.54,112.86,3,T1,express,1
358.17,85.06,1.11,132.732823,13.97,7,29.39,78.54,21.67,1,T1,standard,0
2933.76,16.52,1.73,379.126589,18.02,14,59.1,55.59,122.64,4,T1,standard,0
3170.05,36.89,0.88,396.745365,49.63,6,51.62,90.49,30.0,2,T1,standard,1
1656.57,63.52,1.86,448.408741,40.3,9,38.03,57.27,89.94,7,T2,standard,0
1286.58,68.78,0.4,357.6852,10.51,18,9.71,86.15,74.83,3,T2,standard,0
1499.2,112.11,1.15,395.238013,51.72,17,13.17,54.54,99.87,6,T2,standard,1
2769.82,101.3,2.36,115.297066,14.74,3,96.13,91.39,151.65,3,T3,standard,1
2260.05,74.98,0.09,234.176246,14.24,4,93.8,92.2,171.85,6,T2,express,0
1927.92,117.21,0.75,123.912982,71.32,7,5.38,12.1,185.21,5,T1,express,1
728.41,105.99,2.98,270.437884,42.88,12,15.55,23.32,113.14,4,T3,standard,0
2950.08,18.3,3.44,255.910754,43.69,16,9.34,67.79,170.6,5,T1,express,0
1741.78,37.76,2.12,404.262582,57.53,12,75.91,17.13,14.22,3,T1,standard,0
,95.08,0.46,146.358941,9.45,4,78.05,36.04,178.42,2,T3,express,0
1666.96,43.62,1.64,83.593326,58.17,8,33.89,49.18,164.4,3,T1,express,1
3057.5,81.09,2.5,242.815976,51.52,12,52.92,40.16,77.77,5,T1,standard,0
312.5,65.63,0.2,399.758987,44.35,4,3.84,70.15,108.15,1,T3,express,0
1702.57,7.85,0.72,57.112615,48.73,17,20.64,40.77,47.97,7,T3,express,0
1915.72,76.04,1.33,387.565074,26.06,3,58.44,0.59,121.78,2,T2,express,0
1303.82,65.02,2.39,178.754441,1.44,16,72.51,46.95,181.32,7,T3,standard,1
1264.52,26.4,2.65,475.607706,43.56,4,51.18,97.28,82.86,2,T1,express,0
535.25,84.52,1.26,0,31.6,14,15.72,40.18,31.91,5,T2,standard,1
945.12,97.8,1.33,345.549767,37.75,1,89.78,55.66,46.05,2,T2,standard,0
185.92,25.81,0.43,166.366034,68.85,17,71.35,67.65,91.14,6,T2,standard,0
2713.01,39.04,0.4,112.00286,51.68,9,60.25,55.55,83.73,2,T1,express,0
1308.27,61.05,0.73,0,64.16,6,53.32,22.54,169.67,5,T1,standard,0
1164.84,92.7,1.16,1.484389,23.23,10,71.9,75.27,228.91,5,T3,standard,0
2268.77,32.49,1.94,376.141352,41.81,6,50.64,10.81,9.19,6,T3,standard,1
2165.58,18.5,1.39,249.637156,65.15,11,73.01,3.92,171.92,7,T3,express,0
1858.95,11.36,2.99,93.626042,31.91,2,52.35,96.15,171.55,6,T2,express,0
2090.12,116.82,0.35,36.206308,60.24,4,57.23,83.77,124.31,2,T1,standard,1
2951.17,21.23,2.41,305.327788,28.55,18,62.52,21.13,75.91,3,T2,standard,0
1055.13,42.87,0.91,34.307302,63.6,14,84.16,11.54,218.14,1,T2,standard,0
70.22,17.27,3.26,417.93796,66.71,9,44.0,23.7,94.56,2,T1,express,0
2877.88,0.93,2.25,404.118626,61.8,1,70.05,54.3,46.55,4,T1,standard,1
1939.56,46.18,0.96,245.271805,32.65,9,39.48,34.47,141.28,3,T2,express,0
521.82,84.09,1.86,19.957176,31.2,18,73.13,59.47,83.05,3,T3,standard,0
3127.15,92.03,3.39,198.385703,36.49,14,36.91,78.45,179.08,3,T2,standard,0
1871.79,88.15,2.57,343.448335,46.6,1,16.51,66.61,58.62,2,T2,standard,0
2040.52,64.92,0.77,376.09368,40.91,7,97.47,40.58,47.42,4,T3,express,1
1885.33,42.9,1.68,298.134401,7.91,15,20.72,22.85,68.43,7,T3,express,1
2130.56,10.59,1.38,174.508295,46.15,7,39.3,56.44,192.59,4,T2,standard,1
1134.08,46.71,0.71,405.766207,28.49,10,61.11,86.12,117.04,4,T3,express,0
845.26,51.85,3.41,43.53533,59.88,7,NA,62.56,39.42,6,T1,express,0
2958.38,"61,78",2.32,372.078457,24.07,3,0.81,28.44,8.51,4,T2,standard,0
3163.99,14.32,1.95,241.451986,5.07,12,38.64,13.73,18.82,7,T1,standard,0
1262.76,8.5,2.13,457.870282,13.01,10,68.32,7.4,169.52,7,T1,standard,0
1414.84,102.97,0.29,156.485183,35.86,2,17.6,24.81,NA,6,T2,express,0
1084.93,52.12,0.96,284.915866,14.59,1,11.03,3.98,218.83,5,T1,standard,0
1119.08,102.08,1.58,257.517429,13.91,14,97.67,5.38,80.93,3,T2,express,0
237.92,15.04,0.4,371.023763,58.11,12,48.42,,179.07,7,T1,standard,1
2939.75,16.73,2.82,0,9.85,6,27.64,39.2,212.14,5,T1,standard,0
1917.51,3.08,0.18,241.623384,54.12,16,95.72,83.94,38.59,3,T1,standard,0
1517.51,68.12,2.4,238.860378,63.22,12,89.26,28.58,68.7,6,T1,standard,0
982.17,13.25,2.72,140.631821,22.58,3,62.82,47.73,88.83,2,T1,express,0
1195.3,19.67,1.39,47.1376,69.24,18,86.66,12.93,166.17,1,T1,standard,1
927.92,77.58,0.63,408.536511,4.58,5,57.06,68.89,162.03,3,T3,standard,0
157.84,37.63,2.19,146.895653,15.1,8,80.77,14.31,157.52,5,T1,standard,1
2982.68,18.98,0.98,5.165804,27.23,9,55.76,42.29,218.86,7,T3,express,1
2977.36,39.15,1.62,311.025532,52.04,6,91.94,37.33,17.52,1,T1,express,1
1639.85,71.24,0.25,249.859016,6.23,18,74.08,30.47,190.8,2,T3,standard,0
2430.92,65.81,1.06,319.375339,21.35,6,81.06,15.14,201.59,2,T2,express,0
2244.08,0.42,2.92,372.052771,32.89,7,18.98,94.74,22.82,7,T2,standard,1
1301.18,21.6,2.08,376.119915,61.12,4,13.7,32.6,110.79,4,T2,express,0
241.89,74.72,1.43,128.896946,9.33,9,59.21,2.04,106.99,3,T1,express,0
2730.32,16.45,2.77,4.471753,40.67,3,20.43,35.22,135.55,6,T2,express,0
792.43,33.21,0.51,135.791827,11.24,9,94.46,96.41,153.07,6,T2,standard,1
2680.56,5.3,2.08,242.23218,23.08,12,23.23,56.48,83.34,2,T1,standard,0
1900.89,0.27,1.56,400.809481,12.58,12,38.38,47.54,6.19,6,T1,standard,0
2492.87,26.71,2.91,392.138359,26.9,4,82.25,34.42,164.96,4,NA,express,1
1387.37,81.27,1.53,198.942681,46.92,4,26.67,72.24,,3,T2,express,0
2189.64,62.07,0.58,136.668373,40.34,5,32.56,32.26,123.18,1,T3,express,0
349.55,70.5,3.22,0,52.33,14,92.64,28.5,174.47,4,T3,express,0
2871.71,116.59,3.36,313.982089,5.46,2,90.09,82.18,164.72,1,T2,standard,1
485.95,49.1,3.24,168.356684,43.84,14,43.26,2.79,65.7,6,T1,standard,0
390.85,91.27,1.13,316.624275,58.43,11,91.51,75.17,,3,T3,express,0
1424.82,61.28,1.02,221.286539,43.09,2,0.34,71.5,205.59,1,T3,standard,0
1907.91,83.46,2.86,126.108208,48.28,14,29.9,39.63,102.37,4,T3,standard,0
1488.58,57.07,2.24,332.677833,36.3,18,1.44,61.44,127.23,1,T2,express,1
1152.7,98.04,1.12,95.953089,1.0,4,45.66,40.05,184.94,7,T1,express,0
1304.47,83.71,1.85,416.076219,55.16,5,27.04,52.28,116.33,3,T1,standard,1
2440.11,117.34,2.44,109.664909,34.54,2,46.68,29.09,178.52,2,T3,standard,0
2749.59,25.16,0.79,101.191286,51.22,"14,00",24.88,64.58,22.5,7,T1,express,1
1348.67,85.62,1.27,152.581203,6.82,9,25.17,6.8,124.76,4,T2,standard,0
1107.03,77.13,3.29,129.613018,67.46,8,32.56,90.25,88.32,2,T1,standard,0
3170.18,97.48,2.22,169.429904,30.47,10,19.13,46.96,83.59,7,T1,express,0
2510.12,17.91,3.13,267.781452,1.88,11,91.16,30.46,28.66,6,T1,standard,1
3039.9,61.06,2.91,281.430083,47.89,1,98.45,22.25,149.93,5,T3,express,1
2307.4,45.07,1.59,71.156722,20.1,17,12.25,50.86,91.15,3,T2,standard,0
1595.48,27.73,0.49,293.878862,326.36,3,38.5,98.04,227.73,7,T3,express,0
98.95,11.58,3.09,128.707898,13.72,16,40.21,60.8,211.09,1,T1,express,0
2749.85,99.55,0.14,430.395136,30.63,17,59.05,4.04,8.31,5,T3,express,0
2111.52,103.59,0.62,272.8078,48.34,4,15.62,25.7,197.53,3,T2,standard,0
1505.54,22.81,2.42,191.211635,39.06,16,83.53,58.53,18.84,5,T1,standard,0
1029.67,116.56,1.75,385.103583,70.14,16,56.97,95.58,84.28,7,T2,standard,0
278.93,105.27,3.49,0,3.33,12,83.03,55.34,152.52,7,T2,,0
573.13,107.55,3.09,310.125251,44.62,5,34.39,53.68,44.99,2,T2,express,0
715.6,53.95,0.34,86.447384,3.33,7,69.02,65.02,28.45,2,T2,standard,0
992.11,4.99,1.29,377.153028,21.99,13,13.67,15.64,238.77,5,T3,standard,1
2292.77,34.8,0.2,0,16.9,17,60.97,57.69,228.04,3,T2,standard,0
2907.43,92.38,0.35,67.429486,49.84,11,36.78,84.21,69.43,5,T3,standard,1
414.81,108.83,2.57,328.297504,,1,50.11,76.61,17.62,6,T1,standard,1
1332.12,44.34,1.54,279.422719,30.68,14,23.27,17.68,97.97,7,T1,express,0
2491.59,43.48,1.92,248.223665,9.04,8,50.06,92.55,210.64,1,T2,standard,0
515.5,12.93,0.97,460.192182,9.2,2,43.81,75.07,214.2,2,T3,express,1
1370.82,87.93,2.64,360.027349,0.51,17,51.09,90.83,231.02,5,T3,standard,1
2746.36,63.09,1.03,416.488162,21.45,18,82.6,9.15,155.86,3,T3,express,0
387.14,56.83,2.14,464.775024,48.52,6,37.28,86.35,33.54,7,T3,standard,0
240.88,6.53,3.39,340.191728,42.95,10,0.51,48.62,210.49,3,T2,express,0
1568.76,98.86,3.1,38.608159,25.51,14,43.19,69.71,214.45,3,T3,standard,0
940.04,100.83,0.04,15.924663,63.63,18,60.46,91.01,31.5,7,T2,standard,0
2110.05,87.51,2.72,369.238834,60.37,18,16.24,49.01,193.03,2,T2,express,1
1358.4,70.03,1.34,75.219405,6.84,18,55.61,5.74,224.31,7,T3,standard,0
2730.64,109.5,1.44,193.074469,9.28,11,65.1,87.95,139.42,4,T1,express,0
2757.67,91.63,1.22,198.609188,69.81,18,76.4,10.34,229.8,5,T3,standard,1
855.19,19.23,0.59,213.490865,67.13,11,44.38,47.3,194.74,5,T2,standard,0
2870.86,36.7,1.72,0,39.66,18,69.25,94.25,236.07,4,T3,standard,0
1577.34,61.35,3.3,358.620884,43.06,3,14.22,45.95,26.0,2,T3,express,0
3046.35,87.3,2.83,235.507731,0.75,5,88.31,98.16,43.65,1,T3,express,1
427.09,4.61,1.79,253.024245,44.13,10,93.33,87.79,171.84,1,T1,express,0
1247.81,93.25,2.06,227.712008,67.17,1,79.05,21.84,198.42,50.58,T1,express,0
809.09,32.59,0.08,24.938344,26.41,9,24.12,97.32,155.38,4,T3,standard,1
2346.12,90.49,2.89,191.055694,49.22,18,47.04,66.66,31.73,33.28,T3,express,0
703.17,25.4,1.54,302.243362,43.96,14,1.79,5.4,111.65,1,T2,standard,0
808.21,75.89,1.53,141.431401,55.26,1,34.62,51.11,155.31,5,T2,standard,0
82.89,58.65,1.5,46.121225,7.43,11,59.38,56.34,38.86,5,T3,standard,0
2059.92,115.47,3.07,131.136816,23.86,15,64.21,94.23,191.89,2,T3,express,0
2498.36,96.24,0.08,118.050223,30.89,8,23.8,66.64,12.54,3,T3,express,0
1802.37,118.22,1.42,139.535635,52.2,9,61.44,9.49,186.46,5,T1,standard,0
2864.37,79.3,3.31,28.011193,35.06,14,26.05,46.85,47.59,1,T1,standard,0
1655.78,48.55,0.63,407.308654,16.18,17,25.21,44.82,174.32,4,T1,express,1
3088.97,107.45,1.43,0,32.5,14,92.54,56.35,113.9,3,T1,express,0
492.01,5.25,3.31,106.299702,60.13,9,47.1,14.15,67.96,5,T2,standard,1
2473.27,40.02,0.86,53.20818,55.68,1,3.33,5.5,14.76,5,T3,standard,1
2360.63,119.92,0.57,44.960713,4.02,2,31.75,59.01,92.34,3,T1,standard,0
1792.46,92.91,2.63,305.706745,29.47,12,44.44,71.41,156.65,6,T3,express,0
1706.94,14.99,1.4,402.698277,41.08,3,14.72,43.57,210.93,5,T1,NA,1
23.93,58.02,2.6,25.366857,50.73,17,65.86,55.76,169.84,6,T1,standard,0
1855.4,16.89,2.08,88.482519,28.39,7,99.87,1.28,87.41,1,T3,express,1
2484.02,20.36,0.93,125.246221,0.76,11,85.3,52.74,179.19,2,T3,standard,1
2954.24,34.69,1.61,276.798814,62.57,1,72.67,75.61,221.15,1,T3,express,0
309.0,116.04,2.79,35.669376,21.95,2,11.29,66.56,10.14,4,T1,express,0
2413.39,46.21,2.79,117.768279,14.81,13,52.67,81.59,199.27,6,T3,standard,0
2335.94,97.6,2.0,274.601215,16.85,15,35.06,90.03,238.23,2,T3,express,0
2023.54,94.17,0.15,306.087726,54.34,8,9.06,92.15,101.28,6,T3,express,1
2579.36,118.26,2.62,207.00379,55.09,13,95.23,29.51,145.22,7,T3,express,1
215.26,119.24,1.95,349.686214,48.85,5,53.49,27.6,204.96,5,T1,standard,0
67.29,80.83,0.55,252.771327,0.9,4,78.22,27.59,226.5,6,T3,standard,0
1482.29,1.72,1.32,370.208153,4.07,12,54.35,90.45,28.74,6,T1,standard,0
2259.29,49.63,2.02,222.217343,48.42,17,5.92,97.11,74.64,6,T1,express,0
3149.7,,1.9,185.590357,10.42,14,98.48,33.68,128.61,6,T2,standard,0
543.09,54.59,0.1,117.629096,48.16,1,24.81,47.01,69.16,3,T3,express,0
3133.51,113.39,2.49,503.139964,21.94,4,89.45,36.38,147.57,3,T1,express,0
2039.87,8.81,0.95,133.947669,70.58,13,30.97,27.17,"138,27",2,T1,standard,0
1068.86,65.16,1.31,662.288321,61.42,18,52.92,17.56,194.53,3,T3,standard,0
373.77,65.93,3.25,428.619667,55.46,18,50.76,8.32,218.14,2,T3,standard,0
2815.44,76.49,3.2,179.867569,30.57,9,53.69,93.87,220.82,6,T1,standard,1
2067.27,13.39,1.12,86.421068,38.14,1,37.13,80.86,164.49,6,T3,standard,1
777.2,23.63,2.66,409.815009,67.72,4,86.34,45.35,198.54,5,T1,express,1
2061.62,4.58,2.37,495.402123,59.1,4,89.28,20.49,176.45,,T3,standard,1
2415.61,53.07,3.14,372.482234,14.86,1,12.38,66.71,236.68,4,T1,standard,1
1198.87,50.93,1.25,192.36783,21.36,2,54.66,76.36,98.75,7,T3,standard,1
3083.4,107.06,2.53,36.083743,9.88,13,13.62,86.67,211.32,7,T2,express,0
1037.79,91.68,0.58,476.918103,54.28,2,53.43,5.41,139.8,5,T3,express,1
2341.61,115.72,1.96,0,70.29,9,71.8,46.05,101.31,2,T1,express,1
1422.89,107.0,3.35,356.734467,8.17,17,28.54,85.92,35.27,6,T2,express,0
1000.69,53.02,0.84,248.790582,60.25,8,53.51,41.95,95.61,5,T2,standard,0
1340.36,76.99,1.98,249.627506,19.53,9,50.05,25.71,79.76,2,T2,express,1
3144.22,46.41,2.63,312.753303,28.64,5,85.29,41.78,173.28,1,T3,standard,1
2205.53,53.73,2.02,251.372492,64.57,11,84.83,61.97,120.04,2,T1,express,0
1806.26,62.1,3.43,371.222669,20.19,11,54.34,62.5,221.91,3,T1,express,1
2480.19,118.07,0.92,132.545409,13.16,17,72.15,37.72,84.54,6,T2,standard,0
2237.87,91.73,1.16,310.05957,20.67,6,7.79,85.12,41.57,4,T1,express,0
536.26,11.81,1.38,244.876934,10.04,7,21.22,77.72,79.79,6,T1,standard,0
1458.23,59.77,0.79,317.172618,54.14,7,42.07,67.8,56.4,5,T3,express,0
1842.58,19.19,3.38,176.808564,42.81,2,0.39,25.66,147.6,7,T1,express,0
1732.52,40.86,1.24,122.809575,7.54,9,84.95,91.57,20.9,5,T1,standard,0
2239.34,15.44,2.58,102.844314,56.05,5,86.19,98.12,93.11,4,T2,express,1
2044.63,58.39,1.04,651.642507,67.95,7,30.42,5.96,173.42,4,T1,express,0
688.72,67.6,3.01,284.017982,58.84,8,18.82,73.31,148.89,6,T2,express,0
791.21,84.6,0.77,236.766336,17.19,9,40.44,4.47,168.66,4,T3,standard,0
2199.56,2.06,2.77,268.501437,38.99,9,12.43,29.18,69.79,4,T3,standard,1
572.91,62.11,0.05,478.363594,NA,15,68.19,2.94,89.63,1,T2,standard,0
