anciennete_mois,facture_moyenne,nb_reclamations_12m,nb_appels_support_3m,satisfaction,nb_options,freq_portail_mois,variation_facture_3m,delai_resolution_incident_h,score_fidelite,region,mode_paiement,churn
5,173.05,3,12,1.34,5,4,11.77,59.13,13,Sud,virement,0
66,189.57,12,9,4.16,1,35,-31.08,5.01,44,Ouest,prelevement,1
15,179.8,12,17,5.96,9,41,-27.3,75.52,59,Sud,virement,0
21,133.66,3,17,4.14,7,18,35.02,53.56,83,Est,carte,0
60,67.84,12,14,6.54,3,13,-26.9,52.35,58,Nord,prelevement,1
15,195.17,1,3,8.38,4,5,36.81,19.09,19,Est,carte,0
82,116.83,8,10,4.6,5,12,27.54,21.26,56,Nord,virement,1
71,52.11,10,,8.06,0,24,25.3,5.49,87,Est,prelevement,1
30,75.96,14,0,6.82,6,44,-23.8,24.86,71,Est,virement,0
91,89.37,18,16,5.55,1,27,74.68,15.68,49,Est,carte,1
91,80.38,15,2,4.62,9,35,-7.67,72.93,97,Est,virement,1
26,153.21,5,0,6.23,8,8,-9.32,68.11,1,Est,virement,0
96,69.09,6,7,7.45,4,42,62.65,67.08,43,Sud,prelevement,1
77,168.68,9,5,7.68,3,16,36.01,79.18,25,Nord,carte,1
50,80.66,2,3,8.91,4,40,68.62,31.97,56,Nord,prelevement,0
15,15.24,4,8,1.61,4,38,55.56,26.48,76,Nord,virement,0
35,29.48,9,6,2.07,8,45,5.25,82.85,96,Est,virement,0
13,64.65,0,21,7.19,2,41,35.8,63.88,32,Nord,virement,0
87,168.88,0,12,5.57,7,5,-1.46,90.81,13,Est,carte,1
43,137.3,12,1,2.14,0,23,-10.01,69.03,91,Nord,prelevement,1
80,40.9,1,77.7,3.55,2,1,62.16,30.58,80,Nord,prelevement,0
90,16.01,4,16,6.47,7,13,9.98,57.72,60,Ouest,prelevement,1
38,35.54,3,20,5.25,8,26,-1.64,87.89,89,Nord,carte,0
76,89.97,3,16,1.57,2,39,10.18,8.07,29,Sud,prelevement,1
85,218.0,9,21,1.92,7,34,50.55,19.19,87,Sud,virement,1
46,211.63,18,14,3.88,1,10,-8.94,36.72,18,Ouest,prelevement,1
32,62.09,3,7,7.09,5,4,49.98,85.27,9,Ouest,virement,0
64,215.59,9,12,7.72,8,12,11.34,73.62,52,Nord,prelevement,1
6,205.41,11,15,3.16,8,6,27.83,7.51,2,Ouest,carte,0
76,175.15,3,2,8.68,7,29,49.38,1.91,2,Est,prelevement,1
8,215.82,15,5,2.34,10,17,6.42,50.69,33,Ouest,virement,0
NA,32.5,10,,7.2,5,11,41.11,49.88,38,Est,carte,0
19,110.95,11,5,4.0,3,26,72.26,15.5,89,Ouest,carte,0
51,211.69,10,4,7.15,8,22,-5.84,71.85,41,Nord,prelevement,1
51,211.53,6,17,7.34,6,18,-20.78,24.43,0,Ouest,prelevement,1
76,79.02,3,11,3.91,6,42,27.25,51.62,28,Est,virement,1
29,185.39,15,16,5.37,10,17,31.41,32.44,59,Sud,virement,1
40,157.72,12,7,4.93,6,27,19.91,24.49,13,Nord,virement,1
26,114.54,5,21,8.13,3,31,-2.51,30.83,47,Nord,virement,0
14,196.76,13,13,9.14,8,45,-8.99,46.49,64,Sud,virement,0
63,31.89,7,10,"6,93",3,0,39.13,23.96,12,Sud,prelevement,0
44,87.24,11,0,7.99,9,13,-71.84,54.28,48,Sud,prelevement,0
10,105.02,6,16,5.65,2,40,34.2,63.06,81,Ouest,virement,0
61,47.17,14,15,6.49,9,16,56.55,NA,38,Ouest,virement,1
72,47.47,7,15,5.88,4,26,61.05,63.99,61,Sud,carte,1
83,133.21,4,8,3.89,5,36,52.35,94.75,17,Ouest,prelevement,1
38,213.92,10,5,6.54,3,21,-30.59,80.46,86,Nord,prelevement,1
61,97.3,11,11,9.56,7,41,-2.71,66.75,32,Nord,prelevement,1
60,159.34,10,13,2.08,2,32,7.72,67.16,84,Sud,virement,1
86,81.07,18,16,8.33,9,41,32.6,69.82,95,Est,carte,1
40,126.39,6,11,5.21,9,17,32.94,2.82,99,Nord,prelevement,0
44,72.46,15,16,1.02,4,31,58.94,71.78,80,Sud,carte,0
8,64.47,10,9,5.36,1,11,21.21,32.64,56,Est,carte,0
30,111.24,7,9,6.77,9,45,-14.37,51.02,82,Sud,virement,0
30,164.1,10,22,4.12,6,1,73.96,12.91,12,Nord,carte,0
8,56.69,15,0,3.58,5,38,-10.71,26.6,92,Est,prelevement,0
74,115.87,12,18,2.36,5,43,13.37,47.97,,Nord,carte,1
53,114.65,7,7,7.82,2,39,40.06,18.51,79,Sud,carte,1
95,200.53,14,11,6.54,10,23,-11.49,44.6,25,Sud,carte,1
54,18.74,5,4,8.95,5,7,-18.97,5.41,85,Sud,virement,0
53,111.58,12,9,9.83,6,27,0.08,78.35,62,Est,carte,1
6,17.13,17,1,4.7,4,7,-13.84,93.29,46,Nord,prelevement,0
8,195.7,16,8,5.76,2,34,47.54,12.8,34,Nord,prelevement,0
42,185.83,9,NA,2.86,1,41,"66,58",75.56,58,Ouest,prelevement,1
12,25.26,13,18,3.76,7,0,67.12,75.34,45,Sud,prelevement,0
45,153.95,14,16,3.01,10,34,45.83,80.68,100,Sud,prelevement,1
12,22.75,12,21,8.8,9,1,5.39,87.87,13,Ouest,prelevement,0
70,77.66,11,8,1.36,7,22,-23.39,53.38,46,Ouest,prelevement,1
63,35.24,16,1,7.23,10,28,42.11,81.34,53,Est,virement,1
8,213.79,11,2,8.82,7,37,42.31,52.01,5,Nord,prelevement,0
86,79.46,1,20,2.99,5,31,-29.27,14.9,78,Sud,virement,1
13,110.13,2,10,9.8,8,18,-7.71,46.96,49,Sud,carte,0
93,183.01,13,5,3.91,3,33,39.55,92.39,10,Nord,virement,1
5,84.87,9,9,5.48,6,30,37.8,37.74,79,Est,carte,0
21,19.61,7,15,8.33,7,24,1.74,88.52,23,Nord,prelevement,0
62,66.64,1,0,5.16,10,35,-11.3,59.26,14,Nord,virement,0
47,120.25,11,12,9.81,5,1,8.27,93.55,48,Est,prelevement,1
41,113.64,0,1,4.51,9,1,-24.74,19.29,29,Sud,virement,0
45,22.07,4,13,4.62,5,28,45.06,5.65,99,Est,,0
12,36.54,12,1,2.03,1,33,25.73,44.96,96,Est,carte,0
41,24.72,17,"19,00",2.2,7,44,-31.25,24.83,26,Ouest,prelevement,0
26,187.17,9,4,7.33,6,33,56.74,38.46,28,Est,prelevement,0
92,191.21,2,6,8.08,5,31,-20.28,90.01,63,Ouest,carte,1
39,104.95,14,0,6.2,0,13,-7.65,10.41,48,Nord,prelevement,0
49,210.91,2,13,7.38,9,33,71.24,9.02,63,Nord,prelevement,1
23,27.4,17,7,4.95,9,40,65.33,48.17,5,Sud,prelevement,0
48,205.56,18,0,1.44,1,19,60.58,24.97,89,Ouest,virement,1
45,56.92,7,4,7.18,1,38,63.27,30.26,82,Sud,virement,0
39,25.79,5,16,4.96,4,0,59.97,53.72,44,Sud,virement,0
36,111.49,12,19,6.75,10,40,24.8,60.44,96,Nord,carte,0
36,57.29,18,10,1.7,7,27,-16.61,8.6,29,Sud,virement,0
90,67.5,5,18,8.76,7,25,-32.72,29.27,30,Sud,virement,1
12,107.41,9,0,2.59,3,30,74.59,42.81,9,Est,carte,0
86,84.67,14,7,8.72,5,3,-5.55,84.68,53,Est,virement,1
59,53.06,11,12,4.28,0,21,-25.15,57.85,6,Est,prelevement,0
87,211.56,15,11,6.54,4,0,57.7,44.33,84,Nord,carte,1
19,204.89,17,8,1.51,7,3,-33.04,60.46,38,Ouest,carte,1
6,129.28,8,9,6.68,10,38,62.43,80.12,63,Est,virement,0
52,127.89,6,10,3.0,7,29,-22.29,71.18,77,Est,virement,1
22,192.51,0,19,1.67,8,31,-27.55,42.62,13,Sud,virement,0
7,86.79,7,15,5.42,8,21,69.43,49.78,47,Sud,prelèvement,0
76,122.03,11,7,8.87,7,43,27.52,50.92,55,Sud,carte,1
52,48.43,9,6,7.54,3,36,34.9,75.59,35,Sud,virement,0
82,23.82,7,17,1.83,4,23,6.78,57.77,46,Nord,virement,1
39,112.19,6,7,9.68,5,4,52.81,67.22,48,Est,prelevement,0
16,24.81,7,13,5.76,3,24,52.5,91.16,14,Ouest,prelevement,0
76,196.57,11,15,9.69,4,13,71.8,75.88,47,Est,virement,1
26,154.04,15,17,2.03,0,38,-9.95,24.69,39,Sud,virement,0
27,39.15,16,22,1.27,9,21,17.7,46.72,37,Est,virement,0
87,97.08,,3,7.76,4,28,23.6,13.61,20,Est,virement,1
89,146.11,13,2,7.03,0,39,-26.11,56.19,58,Est,carte,1
3,133.79,6,19,5.7,6,37,-6.65,NA,97,Nord,carte,0
57,129.36,1,11,5.44,7,45,8.76,9.93,NA,Sud,prelevement,0
87,131.33,10,7,1.52,3,NA,-10.95,6.21,48,Est,prelevement,1
59,217.67,10,13,7.07,6,42,-13.26,5.83,11,Sud,prelevement,1
44,NA,16,10,7.31,0,29,74.75,78.54,34,Nord,carte,1
26,172.43,15,11,8.35,9,21,36.03,47.11,83,Nord,virement,1
30,,5,12,5.85,9,20,37.88,86.67,52,Est,carte,0
58,163.18,11,20,2.89,2,27,64.08,93.7,"28,00",Ouest,NA,1
72,160.47,15,7,8.13,0,14,51.25,29.47,36,Sud,carte,1
73,96.39,0,8,2.79,7,12,-4.63,83.72,22,Ouest,prelevement,1
26,200.44,8,4,4.88,6,7,-33.09,10.0,83,Nord,prelevement,0
78,17.03,0,4,2.38,8,30,-27.05,26.93,97,Nord,prelevement,0
37,112.51,1,21,6.36,5,28,21.15,11.13,10,Nord,carte,0
68,191.36,0,21,6.29,2,17,17.1,92.79,53,Nord,prelevement,1
34,35.53,10,6,7.58,9,5,5.7,39.61,5,Sud,carte,0
81,48.38,12,13,7.86,7,13,68.79,21.32,39,Est,carte,1
58,176.65,3,1,9.99,9,23,22.68,87.92,45,Nord,virement,1
31,207.63,12,10,4.47,9,42,-22.39,74.54,87,Sud,virement,1
53,31.92,4,3,5.33,3,41,71.79,11.09,6,Sud,virement,0
16,210.19,5,18,5.45,10,39,26.15,26.62,62,Ouest,carte,0
10,119.98,0,14,6.81,8,12,70.54,52.01,2,Sud,carte,0
56,153.95,1,7,5.16,10,35,63.44,43.54,18,Ouest,prelevement,1
79,28.24,4,22,5.36,10,35,-7.39,46.16,100,Sud,prelevement,1
29,78.0,6,12,4.07,0,32,-5.28,10.8,70,Est,virement,0
94,130.98,10,5,8.53,2,5,57.8,5.2,77,Nord,carte,1
16,186.79,13,12,7.82,10,23,0.67,23.2,92,Ouest,carte,0
63,196.51,13,,6.3,2,43,63.3,49.63,66,Nord,carte,1
10,132.93,17,10,6.64,0,18,-31.47,6.28,46,Nord,virement,0
2,82.79,16,7,6.71,3,35,9.87,29.2,51,Nord,carte,0
96,140.55,4,3,7.56,3,20,17.24,29.87,50,Nord,prelevement,1
74,50.01,3,15,6.67,10,26,7.15,82.49,36,Sud,prelevement,0
17,139.72,2,2,5.82,2,13,-13.99,80.4,86,Sud,carte,0
28,45.41,17,8,2.99,2,32,7.09,5.75,95,Sud,prelevement,0
11,100.15,3,4,3.26,9,42,-12.5,57.4,5,Nord,prelevement,0
82,78.31,3,16,6.71,1,11,6.38,64.89,94,Nord,virement,1
76,74.15,12,21,9.61,10,20,-11.82,42.7,80,Ouest,prelevement,1
46,19.75,3,3,4.69,9,14,-1.7,54.18,58,Est,virement,0
,96.01,8,18,8.7,10,19,70.24,77.64,64,Sud,prelevement,0
3,93.61,17,16,1.33,10,33,32.1,69.66,45,Ouest,virement,0
33,111.41,7,2,1.62,3,33,66.2,51.22,54,Sud,carte,0
61,107.52,13,20,5.7,1,14,62.45,13.8,99,Nord,carte,1
40,81.36,4,5,6.33,7,44,13.96,40.19,58,Est,carte,0
85,139.61,18,13,1.29,6,30,-5.15,52.96,13,Nord,virement,1
5,36.94,11,2,3.99,2,43,25.01,,23,Sud,carte,0
24,136.55,15,10,7.17,9,7,-34.78,16.88,98,Est,virement,0
40,18.4,6,7,6.08,9,17,-30.52,65.48,45,Nord,prelevement,0
20,163.3,5,10,1.6,10,42,-34.44,66.55,29,Ouest,prelevement,0
72,212.3,14,18,5.4,9,41,30.56,88.38,71,Ouest,prelevement,1
88,45.32,5,13,5.11,9,16,21.42,7.33,52,Nord,virement,1
17,217.12,11,12,2.32,8,42,50.22,10.04,23,Est,virement,0
72,185.35,8,7,5.79,2,26,-8.93,60.51,66,Est,virement,1
11,37.5,17,2,6.19,10,0,53.5,71.4,32,Est,prelevement,0
47,77.1,8,13,2.3,2,43,36.89,84.88,20,Ouest,virement,0
71,16.35,2,15,4.77,2,2,72.52,6.04,82,Ouest,carte,0
87,208.92,11,7,3.76,9,11,-1.88,5.77,91,Est,prelevement,1
16,77.6,7,8,8.66,3,3,28.53,74.92,85,Ouest,prelevement,0
81,67.69,18,20,1.65,3,18,55.79,19.22,11,Est,virement,1
24,108.36,6,1,1.47,4,13,57.17,19.74,25,Est,prelevement,0
17,103.96,1,21,4.0,1,7,0.18,31.92,52,Nord,virement,0
44,141.58,15,16,9.48,7,29,57.19,12.76,66,Est,prelevement,1
60,160.17,9,4,2.01,9,39,-30.67,26.04,34,Sud,virement,1
30,89.78,0,4,3.32,3,15,-14.97,41.59,96,Est,virement,0
27,179.58,3,18,5.64,8,13,38.22,26.71,57,Ouest,carte,0
6,209.87,10,12,2.81,3,41,7.22,5.88,85,Ouest,virement,0
81,12.09,10,"15,00",2.74,4,41,-1.4,78.61,12,Sud,carte,1
52,56.53,18,0,9.02,9,25,35.45,29.03,69,Ouest,carte,1
55,63.47,,10,4.26,6,22,-26.09,36.56,88,Sud,virement,0
57,110.32,13,3,3.25,5,31,13.05,72.47,45,Nord,prelevement,1
75,58.59,1,21,5.83,8,24,-28.21,94.7,79,Sud,carte,0
79,77.83,5,7,9.13,1,33,22.52,50.2,18,Nord,prelevement,1
72,194.78,0,7,8.55,6,10,36.91,55.68,95,Sud,virement,1
65,128.1,8,3,2.1,0,5,1.48,20.99,60,Ouest,virement,1
72,19.6,18,20,2.35,2,21,42.58,27.56,92,Nord,prelevement,1
8,26.0,0,2,1.39,1,35,36.53,62.26,19,Nord,prelevement,0
28,119.6,3,13,7.65,8,7,-26.14,20.1,87,Ouest,prelevement,0
56,172.7,7,2,8.01,10,40,-18.57,2.6,45,Est,carte,1
41,192.32,0,4,1.97,4,14,24.99,6.65,11,Nord,prelevement,0
60,143.81,10,20,5.35,5,6,50.07,55.28,71,Ouest,carte,1
32,192.71,15,3,2.69,0,17,18.11,78.48,87,Ouest,prelevement,1
10,22.22,12,10,4.29,3,25,-2.34,43.95,100,Est,virement,0
78,204.78,8,1,6.3,0,28,74.01,73.15,27,Ouest,carte,1
15,69.87,5,4,3.99,5,31,2.19,41.83,69,Est,prelevement,0
78,170.44,12,2,3.59,9,1,35.84,48.56,25,Nord,carte,1
7,53.9,10,10,9.09,2,29,38.18,67.17,41,Nord,carte,0
6,38.39,18,0,7.8,9,2,1.49,78.94,38,Ouest,carte,0
12,68.77,0,22,8.51,1,38,12.39,88.45,77,Est,prelevement,0
40,118.05,88.15,0,8.95,3,41,15.07,80.58,44,Nord,virement,1
8,638.04,3,3,2.65,7,33,-27.69,22.49,57,Nord,virement,1
82,32.3,14,16,6.15,4,31,16.67,61.12,86,Est,virement,1
90,120.21,9,11,6.77,10,8,,37.38,68,Sud,virement,1
90,78.74,11,20,3.3,2,2,48.47,27.45,26,Nord,carte,1
84,63.49,15,20,9.9,4,15,16.38,28.39,54,Nord,prelevement,1
89,160.75,8,12,2.32,10,32,8.67,55.25,50,Est,virement,1
32,191.36,2,4,4.97,1,0,43.51,49.2,14,Ouest,,0
70,108.76,15,1,7.85,8,25,27.69,10.42,36,Nord,carte,1
20,78.44,1,5,2.36,8,32,-26.54,71.51,96,Sud,carte,0
74,154.47,1,19,6.21,1,20,65.27,13.18,81,Est,virement,1
39,102.56,10,17,9.58,4,26,5.97,1.59,66,Sud,prelevement,0
35,57.34,5,7,3.15,8,38,25.1,31.9,56,Est,virement,0
18,21.08,3,3,5.54,4,19,66.96,9.57,68,Ouest,prelevement,0
94,46.76,16,6,5.55,3,32,27.24,88.76,54,Sud,carte,1
48,39.05,7,5,7.94,1,1,64.47,87.02,49,Est,prelevement,0
90,55.63,16,16,8.88,3,10,57.48,,37,Ouest,carte,1
31,23.45,6,9,6.53,8,20,-34.08,50.16,88,Ouest,carte,0
17,28.49,14,17,1.73,3,10,295.98,27.73,90,Est,carte,0
8,161.66,1,6,1.35,10,NA,-20.48,35.66,51,Ouest,prelevement,0
51,141.67,16,2,6.0,2,16,-1.01,51.86,5,Est,prelevement,1
,94.97,15,20,5.25,8,11,42.16,52.28,60,Est,carte,1
75,128.94,4,14,1.58,6,30,6.13,91.05,88,Nord,carte,1
85,151.31,15,15,1.22,8,41,31.3,3.93,51,Nord,prelevement,1
75,120.34,8,22,5.13,0,29,8.67,93.77,97,Ouest,carte,1
62,212.94,17,12,3.02,9,16,-32.21,2.0,16,Est,prelevement,1
9,163.22,,12,8.54,4,9,1.29,54.32,49,Nord,virement,0
85,75.6,0,20,7.27,9,11,28.23,47.79,39,Est,carte,1
30,105.33,6,2,3.42,9,10,-12.21,87.18,21,Ouest,carte,0
52,134.99,8,19,2.45,0,14,-21.51,4.42,49,Est,prelevement,1
81,99.9,8,9,9.47,1,9,40.28,37.22,31,Nord,prelevement,1
16,86.14,18,0,1.69,9,13,23.47,61.0,10,Est,virement,0
18,44.61,16,,8.17,7,13,64.82,17.33,43,Nord,prelevement,0
2,32.81,9,17,4.97,3,42,-28.31,2.51,78,Sud,virement,0
15,130.34,14,20,4.37,1,45,23.6,28.07,64,Est,virement,0
7,147.05,4,,6.86,7,39,9.26,44.29,64,Est,carte,0
54,129.34,11,4,7.49,6,10,11.89,467.17,50,Nord,prelevement,1
69,103.53,3,17,3.87,1,24,10.25,39.99,40,Nord,carte,1
90,193.86,18,11,3.18,9,38,44.9,25.37,38,Ouest,virement,1
82,64.63,17,10,,9,9,20.06,95.02,72,Ouest,carte,1
59,164.77,13,2,4.47,7,17,60.69,64.1,23,Ouest,carte,1
17,99.82,4,10,2.55,7,3,66.6,28.03,39,Est,prelevement,0
69,114.12,4,7,6.27,7,19,-10.37,65.45,41,Ouest,virement,1
19,162.44,3,14,4.3,3,30,42.62,94.33,56,Est,virement,0
33,44.12,7,8,5.29,2,17,72.53,15.26,23,Est,carte,0
80,51.94,9,11,5.13,4,16,15.07,44.58,71,Sud,virement,1
37,147.34,0,17,2.21,9,16,-2.14,10.84,2,Sud,prelevement,0
"93,00",,7,12,1.1,6,9,67.8,75.54,32,Est,carte,1
35,120.45,3,22,4.11,0,45,33.8,95.53,25,Nord,prelevement,0
42,23.61,0,3,7.52,4,36,-8.07,57.03,2,Sud,carte,0
56,107.68,6,9,5.57,0,38,35.33,9.27,51,Nord,carte,0
20,67.01,9,1,7.8,7,37,9.65,14.86,30,Nord,prelevement,0
59,38.0,,8,6.58,NA,18,41.16,15.84,25,Est,carte,0
44,99.99,3,17,8.91,4,29,0.8,63.79,9,Ouest,virement,0
64,98.67,18,18,1.3,6,3,-33.47,65.1,94,Ouest,prelevement,1
32,122.03,10,13,2.52,4,44,68.24,61.52,58,Est,prelevement,0
31,37.68,13,1,3.75,9,32,5.77,65.1,64,Sud,carte,0
72,142.77,9,19,9.21,2,7,26.19,27.19,41,Sud,prelevement,1
37,69.06,5,6,5.78,1,25,-1.42,79.1,30,Ouest,carte,0
71,194.16,5,19,6.09,8,1,-24.37,41.63,54,Sud,virement,1
95,69.98,3,1,4.15,6,7,-10.35,37.26,50,Sud,carte,1
5,136.44,13,9,2.22,7,6,12.83,37.45,46,Est,carte,0
62,184.09,4,8,4.68,2,23,72.18,12.83,70,Ouest,virement,1
83,181.48,17,2,3.05,6,34,-24.06,84.55,13,Nord,carte,1
73,71.15,15,2,5.17,8,22,-16.09,88.56,44,Ouest,virement,1
28,96.41,4,1,7.18,3,12,-21.44,94.19,29,Est,virement,0
30,73.08,10,3,6.54,0,37,19.1,54.23,36,Ouest,virement,0
61,12.55,2,19,8.07,1,37,9.55,69.07,32,Est,virement,0
84,186.58,18,16,7.97,10,21,69.24,95.91,40,Ouest,prelevement,1
92,210.75,14,1,NA,7,0,49.59,25.22,95,Ouest,virement,1
2,82.99,15,20,2.33,1,45,4.4,45.42,27,Sud,carte,0
94,42.75,4,8,5.04,8,44,-32.21,17.29,46,Sud,virement,1
14,39.39,18,17,2.54,1,3,44.24,11.18,8,Nord,virement,0
21,70.62,3,8,5.56,4,11,20.22,20.92,65,Sud,carte,0
74,154.91,11,2,8.18,6,6,38.02,37.34,80,Ouest,virement,1
84,166.96,4,1,5.14,1,9,28.13,57.31,28,Sud,virement,1
38,87.65,11,6,8.74,0,45,17.29,22.03,81,Est,carte,0
47,150.83,5,20,4.59,0,12,11.51,69.54,56,Nord,virement,0
48,192.84,5,7,2.61,4,21,-2.0,58.48,14,Sud,prelevement,1
91,152.44,8,11,7.82,3,23,-16.34,4.74,53,Nord,carte,1
56,164.02,9,15,9.8,1,43,-4.71,4.15,28,Ouest,virement,1
55,140.22,2,14,6.8,9,27,34.21,8.37,43,Sud,carte,0
11,100.3,18,16,9.74,6,20,42.44,30.18,22,Sud,virement,0
80,39.59,13,4,6.87,5,34,58.43,71.27,67,Sud,carte,1
5,104.94,11,7,9.03,3,10,-19.13,74.54,63,Sud,carte,0
22,189.12,13,11,8.96,0,2,-33.05,34.06,31,Ouest,virement,0
15,98.62,7,5,2.51,8,20,19.02,61.97,69,Ouest,carte,0
88,58.4,5,9,2.13,1,24,-15.3,13.12,51,Sud,virement,1
20,143.5,7,6,8.75,3,21,6.85,69.87,98,Nord,prelevement,0
79,205.75,5,6,6.84,7,23,5.27,3.83,80,Ouest,virement,1
73,156.53,0,3,,7,26,-14.15,22.19,28,Nord,prelevement,1
75,218.9,4,14,7.44,6,6,-19.72,5.21,27,Est,virement,1
85,213.9,7,6,5.04,0,6,6.5,57.36,42,Nord,prelevement,1
5,133.08,7,6,3.67,3,16,-10.19,91.46,89,Nord,virement,0
53,17.57,11,5,8.55,7,20,-24.5,46.85,58,Ouest,virement,0
57,73.15,11,0,5.26,4,,11.5,8.5,29,Est,virement,1
59,122.6,12,6,8.15,10,39,11.89,8.54,7,Sud,carte,1
75,150.28,8,16,2.69,7,35,-10.28,75.81,76,Sud,virement,1
85,60.86,16,15,6.89,10,21,68.88,74.24,30,Nord,virement,1
54,61.16,11,6,1.48,2,6,29.95,62.85,55,Est,carte,0
68,131.86,5,0,2.68,2,7,55.93,48.02,58,Sud,carte,1
41,175.71,18,19,6.29,5,18,-0.82,75.07,26,Est,virement,1
92,176.15,0,17,8.35,6,13,51.37,76.84,47,Est,prelevement,1
90,186.01,0,4,7.26,2,7,0.29,44.01,71,Nord,,1
13,90.01,3,3,9.13,4,35,-21.82,41.11,66,Nord,prelevement,0
32,160.77,1,6,5.67,0,18,-14.83,82.9,32,Est,virement,0
74,205.42,13,19,6.35,0,26,32.31,94.05,35,Ouest,virement,1
40,110.78,1,5,3.25,1,4,42.29,33.53,35,Nord,prelevement,0
35,187.06,3,18,2.58,0,28,48.11,70.66,21,Est,virement,0
69,181.68,17,20,7.37,6,0,60.32,42.38,78,Ouest,virement,1
35,87.61,16,6,9.31,7,7,-11.97,62.43,99,Sud,carte,0
66,112.6,16,10,1.74,1,30,50.58,63.6,78,Ouest,virement,1
84,38.15,13,13,5.29,2,15,-9.45,48.88,66,Est,virement,1
17,119.41,1,10,6.84,0,11,12.45,37.85,79,Ouest,virement,0
52,184.69,8,2,3.44,0,40,-15.61,13.81,1,Ouest,carte,1
22,76.34,17,13,9.06,4,22,33.65,86.96,87,Sud,prelevement,0
2,92.37,6,9,6.04,7,34,2.66,94.05,28,Nord,carte,0
92,217.38,8,10,3.39,10,45,18.69,21.68,100,Sud,virement,1
