temperature_c,vibration,humidite_pct,pression_bar,heures_utilisation_jour,nb_alertes_7j,derniere_maintenance_jours,nb_interventions_12m,consommation_kwh_j,indice_usure,site,equipement_type,panne_30j
73.6,14.22,54.72,4.5,10.39,14,97,11,155.379606,49.73,A,pompe,0
79.91,6.42,24.11,0.91,0.59,14,590,7,714.310183,22.64,A,pompe,0
79.92,4.81,73.52,4.94,13.37,1,512,7,8.583174,68.45,C,compresseur,0
73.93,15.86,61.63,5.81,15.54,22,689,12,0,62.85,A,pompe,0
68.22,17.85,81.59,2.64,1.76,6,707,8,272.357913,60.21,C,pompe,0
62.78,18.48,"65,95",0.82,11.51,22,220,6,586.687701,73.62,A,pompe,1
51.73,5.25,61.75,1.03,18.49,24,65,2,615.541607,58.4,A,convoyeur,0
87.66,13.79,55.84,8.09,18.46,2,625,15,358.848762,28.28,B,convoyeur,0
54.9,18.38,53.91,6.16,20.86,14,334,12,565.17123,6.61,B,pompe,0
79.07,5.93,87.08,1.47,15.09,16,44,8,113.375497,386.47,B,compresseur,0
55.7,12.58,55.35,5.61,13.6,4,457,9,0,23.27,C,compresseur,0
68.66,13.43,34.48,1.01,8.95,5,144,12,873.895117,63.18,C,pompe,1
38.23,13.34,41.45,9.24,2.22,16,20,1,718.92962,24.78,C,compresseur,0
83.38,11.18,84.18,6.1,18.77,16,74,12,712.101611,39.51,A,pompe,0
93.61,16.36,48.92,6.32,11.99,1,337,6,383.745179,90.48,C,pompe,0
88.21,8.74,57.23,2.86,16.59,24,373,9,128.809455,33.62,A,pompe,1
90.17,9.94,52.34,4.95,6.55,23,4,10,542.720429,46.83,B,pompe,0
82.1,14.17,91.2,5.45,10.94,12,582,5,66.139944,9.68,C,convoyeur,0
43.34,4.76,48.3,5.35,1.02,21,381,0,297.5567,44.31,B,convoyeur,0
41.08,9.42,45.78,1.94,10.23,13,564,8,432.122656,67.32,C,pompe,0
35.87,7.7,16.65,1.26,3.44,23,3,4,144.799157,78.42,B,pompe,0
72.83,12.91,28.38,8.57,3.72,0,19,9,343.559801,29.75,C,compresseur,0
46.12,13.13,24.66,6.66,12.33,19,247,14,482.120821,82.55,A,pompe,1
85.48,9.09,83.1,4.32,16.98,11,686,17,620.412962,15.17,B,convoyeur,0
64.08,16.12,67.73,4.35,7.12,1,505,0,340.081005,5.72,A,compresseur,1
70.2,6.34,41.59,7.29,18.69,9,687,8,193.913633,20.38,B,convoyeur,0
93.29,10.14,55.96,9.47,20.27,25,185,5,576.73581,97.72,A,convoyeur,1
54.5,14.41,62.41,8.41,0.56,4,356,5,228.277207,30.68,A,convoyeur,0
70.45,14.06,27.86,2.77,18.86,17,77,15,173.133288,10.59,A,pompe,0
61.68,8.6,57.83,,10.33,19,294,9,532.595254,54.49,C,compresseur,0
94.98,9.95,51.21,4.14,6.07,1,548,7,586.342749,91.18,C,pompe,0
80.56,5.13,68.32,4.51,16.63,24,520,11,0,66.09,A,pompe,0
65.28,6.24,24.1,5.02,12.78,18,319,13,748.86662,37.57,A,pompe,0
48.3,3.14,35.44,9.28,1.94,21,594,1,723.878463,66.49,A,pompe,0
37.06,1.92,56.53,3.61,5.19,0,119,8,620.577729,12.31,A,compresseur,0
83.41,14.26,58.12,5.97,9.13,12,500,2,444.257339,44.49,A,convoyeur,0
60.76,9.03,27.53,4.08,0.62,6,221,13,510.952411,94.96,B,compresseur,0
52.16,10.79,10.58,4.76,13.86,25,344,2,712.694702,3.96,C,compresseur,0
,15.41,68.57,5.13,21.75,2,341,15,312.73762,35.89,C,pompe,0
84.69,17.78,20.58,1.46,17.19,7,397,18,405.743284,31.32,B,convoyeur,1
84.18,14.86,66.32,7.55,20.09,3,416,11,286.550014,93.93,B,convoyeur,0
88.21,1.6,16.71,9.33,19.88,2,551,13,58.822204,95.18,A,convoyeur,0
64.73,5.13,27.86,6.3,12.03,25,198,14,264.117512,21.88,C,pompe,0
87.12,12.78,83.68,6.69,5.36,3,79,7,161.010504,86.39,B,compresseur,0
76.74,18.41,61.26,1.95,1.39,23,722,12,674.281378,45.26,C,convoyeur,0
50.19,3.57,37.64,1.24,21.66,12,51,3,479.744391,87.56,C,pompe,0
92.74,10.71,68.96,1.59,12.1,25,157,10,278.141453,22.32,A,compresseur,1
90.28,10.23,31.31,3.24,17.69,5,281,16,378.804237,24.36,B,compresseur,1
77.39,8.86,12.13,0.83,21.73,10,544,7,253.396338,53.65,C,compresseur,0
83.15,9.75,36.26,1.29,4.31,7,696,11,307.610617,65.99,B,compresseur,0
46.76,0.53,54.64,4.43,18.76,2,685,8,0,81.68,A,convoyeur,0
59.77,15.9,63.47,6.92,5.72,11,562,3,419.395898,11.03,B,convoyeur,0
74.88,12.8,33.99,6.22,19.14,12,88,18,457.821459,16.71,C,convoyeur,0
88.12,10.08,22.86,4.12,12.67,24,580,12,357.465138,25.56,A,pompe,0
60.14,8.11,18.84,8.9,1.01,10,265,13,263.261096,26.41,A,convoyeur,0
37.55,7.85,43.5,1.35,3.92,1,537,17,663.601298,23.24,C,pompe,0
69.3,11.69,31.57,3.12,10.59,0,163,3,144.908616,54.62,B,compresseur,1
57.07,1.59,78.85,4.99,2.91,9,7,15,772.603552,42.47,A,convoyeur,0
55.08,0.76,77.75,7.37,4.26,17,645,4,168.168205,73.52,B,convoyeur,0
92.52,2.24,16.63,9.33,10.97,22,442,5,753.710236,16.7,A,pompe,0
82.46,4.33,67.18,1.94,18.2,21,265,3,712.921108,,B,convoyeur,0
43.99,7.82,11.38,9.49,16.09,12,423,2,612.548274,83.54,A,convoyeur,0
92.51,4.8,28.53,5.34,7.92,16,"252,00",16,184.522176,44.92,C,convoyeur,0
69.46,12.27,55.05,7.79,2.12,7,479,2,777.443971,15.4,A,convoyeur,1
74.82,9.9,60.34,7.01,13.67,8,414,14,198.219392,68.87,C,convoyeur,0
93.35,2.22,69.86,7.3,14.58,23,591,4,302.129352,59.22,C,convoyeur,0
47.34,13.04,50.82,2.29,17.2,5,644,10,300.574164,6.05,C,pompe,0
81.47,14.55,64.66,6.7,4.13,1,664,11,508.859031,54.11,C,compresseur,0
43.02,5.18,,4.54,16.16,11,368,14,26.316071,81.12,C,convoyeur,0
77.73,15.88,25.52,2.83,15.37,5,246,12,557.187737,1.49,C,compresseur,0
37.24,3.48,38.4,0.92,20.12,1,63,10,815.80397,11.2,B,convoyeur,0
52.29,16.16,42.85,4.06,11.77,14,76,15,166.872553,30.36,C,compresseur,1
47.86,16.1,67.61,4.03,21.16,9,469,5,659.086773,81.48,B,convoyeur,0
71.36,17.41,17.43,5.27,15.84,5,231,16,250.944317,31.22,A,compresseur,0
39.14,1.33,12.19,8.37,3.27,22,306,1,321.259015,45.09,A,pompe,0
80.61,16.58,50.87,3.1,12.82,10,135,16,0,22.07,B,convoyeur,1
39.7,18.48,35.25,0.98,20.08,22,614,3,20.653551,24.02,A,pompe,0
91.52,12.58,87.8,4.8,17.72,22,359,5,0,34.75,A,compresseur,0
51.53,4.98,37.53,2.79,17.48,9,601,12,574.771238,18.56,A,convoyeur,0
46.45,15.88,12.62,5.18,13.11,2,245,5,303.09311,72.85,B,compresseur,1
82.17,14.29,64.69,4.85,5.34,1,607,11,238.82718,2.49,B,pompe,0
62.46,11.03,75.16,4.31,16.74,5,254,8,193.186037,24.22,B,convoyeur,0
42.14,11.06,57.64,5.56,8.88,0,655,12,738.258136,6.97,B,convoyeur,0
63.68,1.62,10.6,8.41,20.1,8,67,0,28.219481,24.81,C,convoyeur,0
65.55,2.17,20.75,1.19,18.19,11,652,8,260.181393,82.0,A,compresseur,0
42.26,9.05,13.51,5.0,21.59,11,139,18,0,72.14,A,convoyeur,0
89.12,6.07,58.07,5.81,7.16,7,86,12,28.145251,44.11,C,convoyeur,0
94.36,15.36,26.08,3.44,1.83,1,438,12,179.623156,10.55,C,convoyeur,0
78.83,11.61,33.51,2.87,7.64,3,106,4,216.938729,48.49,A,convoyeur,1
49.61,9.19,50.06,1.41,11.77,8,382,0,645.353357,53.98,C,pompe,0
80.58,13.95,73.32,8.04,13.0,16,481,6,356.49012,75.21,C,compresseur,0
76.38,9.8,61.05,1.44,16.54,6,443,7,688.352944,90.77,C,convoyeur,0
76.59,18.09,15.21,7.09,16.19,1,315,10,5.529556,0.57,A,convoyeur,0
57.52,2.49,57.05,1.36,1.27,8,480,18,274.384016,34.53,B,pompe,0
68.58,6.81,78.1,4.56,9.39,10,546,11,73.762774,63.47,B,convoyeur,0
59.26,8.57,73.09,7.71,9.61,13,261,11,467.891854,64.15,B,compresseur,0
53.99,17.38,33.33,5.81,8.54,15,159,9,494.102613,99.3,B,compresseur,1
36.42,6.36,78.92,3.11,2.2,1,52,10,329.876996,85.59,B,pompe,0
,2.41,10.58,7.08,9.98,8,142,18,484.479835,21.42,A,convoyeur,0
57.32,2.63,35.78,3.77,12.87,14,564,5,393.692432,37.65,C,convoyeur,0
49.62,14.37,60.23,1.02,8.73,13,531,0,715.115437,62.7,B,pompe,0
43.49,4.49,81.43,8.41,5.25,23,401,2,193.123683,51.7,B,pompe,0
59.22,0.98,80.74,NA,2.11,13,140,6,328.203911,70.61,C,pompe,0
50.08,17.89,14.52,8.4,19.83,11,537,0,638.570081,49.26,B,pompe,0
40.58,13.12,41.26,9.14,4.23,2,489,12,70.495896,29.74,C,compresseur,1
92.23,7.68,22.97,9.34,20.06,10,11,5,98.522613,21.46,B,compresseur,1
46.72,2.24,28.26,2.34,9.54,6,648,13,0,74.0,B,pompe,0
87.51,6.78,29.16,4.56,7.33,6,184,15,345.447893,43.75,B,convoyeur,1
62.78,4.72,18.35,3.17,2.92,8,716,6,214.081875,28.6,A,convoyeur,0
73.13,1.1,70.62,3.6,7.38,11,156,13,463.443925,42.88,C,pompe,0
37.11,14.7,29.32,2.34,7.17,10,420,5,695.067824,10.59,B,pompe,0
65.02,11.82,78.31,1.95,3.05,17,437,15,383.729384,67.4,B,compresseur,1
59.76,7.42,35.37,6.08,9.26,14,136,14,906.021125,41.35,C,convoyeur,0
84.92,1.12,43.18,1.05,17.76,23,722,2,666.645718,33.31,A,convoyeur,0
90.2,8.79,40.88,1.82,4.7,24,186,18,540.154835,17.29,C,convoyeur,1
82.24,8.98,13.61,7.54,19.81,12,337,14,374.380903,91.69,B,convoyeur,0
79.36,14.68,46.48,7.69,19.12,12,239,7,711.518809,38.45,A,pompe,1
89.01,2.77,68.78,5.82,16.74,8,309,2,614.34441,62.55,B,compresseur,0
41.72,17.18,75.85,7.91,9.84,25,448,2,939.719756,9.74,A,compresseur,1
87.81,16.76,75.79,5.39,1.43,21,556,2,724.211676,63.11,C,pompe,0
91.16,18.18,91.09,3.76,12.03,16,654,0,485.302153,23.46,C,compresseur,0
45.48,10.75,86.13,9.31,2.84,11,286,17,175.305456,69.28,A,convoyeur,0
92.92,7.91,40.93,6.95,16.0,21,478,11,410.581412,45.37,B,convoyeur,1
84.15,17.95,55.33,2.77,14.94,25,262,12,237.76508,90.31,A,compresseur,0
92.65,18.17,44.78,2.5,19.77,0,262,0,640.146246,12.88,B,convoyeur,1
65.76,2.83,83.73,6.04,8.67,12,,17,826.826264,91.56,B,convoyeur,0
45.66,17.92,27.64,8.45,7.26,19,614,3,412.700351,54.2,A,compresseur,0
69.63,2.09,14.07,8.72,7.72,18,462,7,386.380982,98.09,C,pompe,0
92.5,13.43,23.11,4.77,1.45,24,527,6,333.776147,77.92,B,compresseur,0
71.8,2.23,68.79,2.26,21.89,8,142,6,672.106192,31.65,C,compresseur,0
63.18,2.61,70.96,4.95,16.54,21,615,6,400.834122,5.71,B,convoyeur,0
56.94,13.57,17.5,5.61,2.7,25,287,15,634.061635,9.07,C,compresseur,0
69.1,8.07,12.7,6.81,6.25,7,110,3,325.089785,89.71,A,pompe,0
52.55,8.02,32.77,4.58,14.88,3,607,16,263.947666,87.44,A,compresseur,0
70.69,9.01,73.61,6.74,1.61,21,87,1,428.649748,2.79,C,compresseur,1
85.44,4.0,69.68,7.8,19.26,12,485,0,491.309835,77.33,B,pompe,0
35.97,4.65,41.54,3.13,1.56,10,214,1,637.789205,32.09,A,convoyeur,0
35.67,2.11,86.9,5.06,17.34,3,357,6,249.951181,39.1,A,compresseur,0
37.49,3.48,45.86,2.38,14.31,25,135,13,413.261367,50.99,B,pompe,0
65.46,3.73,14.45,1.74,14.84,25,550,15,494.804605,84.84,A,compresseur,0
49.46,0.73,29.6,6.78,20.57,4,77,6,387.083403,7.5,A,convoyeur,0
65.79,2.23,58.71,1.91,15.11,0,121,12,90.587069,3.37,C,convoyeur,0
44.46,15.35,46.3,5.36,1.19,4,208,4,530.652718,87.05,C,compresseur,0
67.81,13.09,69.21,3.4,2.03,24,120,8,8.460741,80.01,C,pompe,1
91.22,16.6,67.36,3.74,12.12,8,100,5,257.252104,46.74,C,pompe,1
80.8,15.8,48.3,8.16,12.32,18,304,16,686.855427,37.86,A,pompe,1
47.69,11.63,84.22,2.52,1.39,7,713,1,531.97502,59.23,B,convoyeur,0
66.5,16.65,85.25,8.69,20.64,10,448,2,177.544248,78.89,B,pompe,0
41.21,9.2,42.09,2.84,8.15,18,482,15,363.161707,86.67,B,compresseur,0
48.79,14.08,36.55,0.91,7.8,19,690,10,305.526803,64.16,A,compresseur,0
64.28,0.16,55.04,6.06,21.53,16,641,5,33.610736,22.78,C,pompe,0
45.43,15.75,36.06,4.31,12.77,5,283,15,0,55.14,C,pompe,0
51.87,13.7,38.57,1.01,5.67,2,217,17,311.822776,2.33,B,pompe,0
72.71,7.31,65.07,7.94,6.68,2,683,3,653.44328,32.23,A,pompe,0
70.36,2.68,45.34,7.4,21.28,0,197,11,443.892454,31.09,A,compresseur,1
92.22,2.28,16.01,5.14,20.46,13,281,10,821.867759,20.73,C,pompe,0
89.83,7.48,82.92,2.81,19.04,4,191,12,828.235274,30.25,A,convoyeur,0
76.69,5.56,11.65,7.73,13.55,8,433,16,569.748736,2.79,C,convoyeur,0
89.12,4.56,79.86,6.69,19.53,9,187,1,166.38202,30.78,B,compresseur,0
78.28,5.63,30.62,7.75,7.44,24,574,17,193.08724,97.33,C,compresseur,0
72.84,10.51,64.06,2.83,21.87,7,604,9,744.20519,75.81,A,convoyeur,0
90.09,2.57,18.43,7.6,1.84,10,184,5,73.237379,,B,pompe,0
35.22,3.0,23.4,2.65,18.5,5,69,11,333.105057,31.7,C,pompe,0
42.25,0.97,72.91,8.22,15.05,0,116,2,416.066414,56.43,B,compresseur,0
37.23,9.71,178.69,8.46,2.73,22,351,17,398.520722,19.49,A,compresseur,0
71.4,4.34,68.21,6.3,3.58,5,449,2,728.333734,49.2,A,convoyeur,0
94.12,13.24,22.17,6.5,14.8,4,128,0,470.75541,23.97,B,convoyeur,1
92.51,3.28,12.06,8.67,0.51,14,410,4,783.648312,21.08,A,convoyeur,0
67.9,12.74,22.35,6.58,13.22,8,38,6,660.853139,15.2,B,convoyeur,1
79.16,9.37,55.09,4.01,18.39,12,337,8,533.049663,37.38,B,convoyeur,0
72.46,9.85,81.81,3.98,2.9,8,77,2,632.702165,32.75,A,convoyeur,0
55.7,5.29,79.76,6.71,15.85,12,730,18,491.429605,54.11,B,pompe,0
52.82,16.92,37.4,3.24,1.15,19,697,12,431.62881,94.73,C,pompe,0
67.91,15.26,82.97,1.0,16.52,8,607,16,335.821118,67.66,C,pompe,0
67.58,18.28,24.98,6.5,21.66,2,260,16,217.339796,64.51,A,pompe,0
82.76,0.3,87.76,4.73,4.73,17,61,13,146.079139,2.22,C,NA,0
51.64,10.53,24.8,3.69,3.67,6,163,10,590.781009,89.47,B,pompe,1
53.64,16.37,17.19,1.15,7.29,13,327,17,470.917799,92.17,B,compresseur,1
41.6,3.46,89.69,9.03,20.25,24,505,16,462.129135,76.07,C,compresseur,0
62.48,16.9,88.86,5.05,10.04,16,667,13,109.964714,46.47,B,pompe,0
35.98,14.03,38.98,3.96,13.17,24,188,0,177.906462,44.75,A,pompe,0
89.24,5.07,37.32,5.69,9.71,13,169,13,232.652732,37.07,C,pompe,0
46.25,10.61,NA,5.54,9.91,21,634,12,390.673125,26.74,C,convoyeur,0
83.0,10.27,23.49,1.15,21.71,16,309,6,594.126275,36.21,C,pompe,0
37.24,13.47,53.95,4.62,17.39,17,391,1,895.974666,83.36,A,pompe,0
38.54,10.46,84.07,3.93,17.37,8,417,18,753.974788,28.97,B,convoyeur,0
59.18,9.72,56.33,4.08,21.77,5,511,11,361.176434,96.05,C,convoyeur,0
72.29,7.96,22.62,8.28,1.35,14,466,2,145.234092,23.19,B,convoyeur,0
85.22,2.44,29.82,5.3,16.11,6,200,1,276.041476,68.77,B,compresseur,1
55.24,6.73,28.92,6.81,11.74,3,247,6,595.079558,51.99,A,convoyeur,0
53.19,3.97,87.9,7.49,13.64,10,671,11,933.295636,41.6,C,pompe,0
57.72,11.56,44.42,3.8,11.6,15,104,13,410.969449,41.65,C,pompe,1
56.52,0.66,69.77,0.89,3.84,20,549,0,196.613369,65.78,B,convoyeur,0
41.08,7.61,41.03,4.87,17.19,7,507,16,434.767012,74.8,B,convoyeur,0
87.57,8.74,15.61,8.05,19.03,17,577,5,479.497573,32.67,C,convoyeur,0
79.02,8.99,16.29,7.44,13.84,5,393,1,500.587326,82.99,B,convoyeur,0
85.39,11.15,50.38,9.42,9.86,20,652,1,0,47.99,C,compresseur,0
50.31,12.84,20.9,1.04,11.81,20,301,0,647.915953,70.63,C,convoyeur,0
63.08,16.94,15.66,7.74,1.22,23,218,9,251.161496,15.94,B,compresseur,1
82.15,14.01,82.65,2.48,20.41,2,490,1,353.553267,52.04,B,convoyeur,0
85.08,15.57,77.06,2.02,0.76,24,77,12,480.950175,82.62,A,compresseur,1
85.43,13.74,52.32,1.52,13.08,0,593,15,380.143571,15.83,C,compresseur,1
70.03,14.0,87.03,6.35,12.4,21,699,16,428.772838,52.78,B,pompe,0
89.96,11.69,62.94,6.9,7.33,6,178,6,121.103867,44.42,B,convoyeur,1
69.66,11.87,59.72,4.59,16.97,9,528,0,675.018582,6.09,B,pompe,0
43.55,14.47,17.99,3.29,7.9,18,652,6,839.706231,59.41,A,pompe,0
79.06,9.0,26.87,9.41,18.42,0,254,15,374.789266,75.35,B,convoyeur,0
89.02,6.18,44.32,4.96,6.04,18,401,3,58.279376,37.91,B,convoyeur,1
46.87,14.27,87.36,8.76,6.64,22,407,12,305.643629,40.13,C,compresseur,0
41.99,10.35,28.24,2.6,9.31,22,409,0,221.023552,22.27,A,convoyeur,0
45.92,12.45,79.18,7.9,16.72,19,431,10,551.415823,13.7,B,compresseur,0
73.51,9.3,87.39,6.32,4.84,3,605,16,340.321819,77.88,C,convoyeur,0
88.3,18.38,89.23,7.47,12.57,16,526,5,366.811203,53.75,B,convoyeur,0
75.71,11.01,17.08,9.34,18.8,15,401,0,305.429868,98.47,C,compresseur,1
53.4,12.46,81.75,1.67,1.69,6,358,18,327.520489,45.2,B,convoyeur,0
48.89,3.34,25.63,1.32,0.77,10,469,18,189.784304,74.34,A,convoyeur,0
52.64,11.14,58.28,3.52,3.68,13,143,8,257.294127,26.16,C,compresseur,0
36.29,3.73,24.11,2.95,8.65,15,92,2,583.229276,43.57,C,convoyeur,0
47.25,12.19,35.95,7.18,11.97,4,280,13,806.610352,98.17,B,pompe,0
65.1,16.24,15.09,4.97,21.53,16,36,11,281.422408,55.2,C,compresseur,1
91.03,8.8,42.74,8.39,17.74,2,160,2,324.346376,21.11,C,compresseur,0
58.73,6.4,23.31,5.52,5.61,10,141,7,224.120042,7.6,A,compresseur,0
47.95,18.21,65.38,4.32,12.5,19,338,10,592.917013,21.74,,pompe,0
69.58,18.32,47.48,6.34,2.81,22,503,15,680.33756,52.09,B,pompe,1
89.36,7.07,36.1,5.22,10.26,23,520,4,314.197826,21.57,A,pompe,0
66.38,7.04,70.15,9.07,9.82,18,560,10,371.586275,98.57,B,pompe,1
62.32,1.31,60.05,3.79,1.96,9,639,2,659.799876,12.77,C,convoyeur,0
81.41,3.98,63.84,4.23,2.6,5,616,17,507.735409,31.1,A,convoyeur,0
63.97,11.17,70.01,6.15,21.0,18,45,15,618.656057,94.93,A,pompe,0
37.71,3.86,20.04,3.62,4.4,3,161,10,722.134767,30.41,C,pompe,0
50.75,6.76,18.48,5.2,14.39,1,553,10,408.656335,43.42,B,convoyeur,0
73.78,11.47,16.45,9.32,13.14,0,579,8,298.858421,25.26,A,compresseur,0
94.87,17.58,62.06,4.01,NA,13,,16,699.035726,5.41,C,pompe,1
40.37,16.14,49.55,5.64,16.72,4,424,1,528.316717,68.18,B,compresseur,0
85.74,4.3,78.1,4.49,8.23,8,129,5,384.214688,31.83,B,compresseur,0
76.41,12.55,69.65,6.66,19.13,5,394,7,26.638868,99.89,B,convoyeur,0
39.9,,30.02,3.95,7.86,1,334,0,605.654156,21.67,C,convoyeur,0
59.76,7.73,19.56,6.48,2.86,21,9,9,917.752443,95.22,A,compresseur,0
64.27,5.56,56.42,2.97,3.56,7,521,16,356.152286,33.38,C,compresseur,0
35.56,16.14,28.4,8.97,15.21,24,197,16,90.07867,11.4,B,convoyeur,0
81.77,13.45,32.25,7.15,5.06,12,714,6,700.142364,7.49,C,pompe,0
65.79,1.09,40.79,7.42,3.12,9,602,12,452.356695,53.7,B,pompe,0
74.47,1.24,67.05,8.93,18.85,11,311,7,675.29437,3.28,B,compresseur,0
74.74,9.92,50.61,8.22,17.94,1,510,16,889.503614,59.83,A,compresseur,0
44.55,8.85,63.94,4.65,16.85,13,460,7,2.390298,5.9,C,pompe,0
70.73,4.21,36.62,6.95,0.97,1,668,1,650.549654,38.84,B,compresseur,0
76.61,8.43,15.77,1.71,17.85,25,693,18,341.68323,27.64,A,convoyeur,0
81.92,2.46,86.12,3.65,2.96,18,406,1,4411.898302,37.88,A,compresseur,0
79.78,16.14,15.48,8.68,20.75,13,454,15,259.937492,50.23,B,convoyeur,0
40.72,13.62,13.82,5.26,20.48,22,483,7,532.276278,63.89,A,compresseur,0
88.18,12.11,73.14,5.27,8.32,3,689,5,283.032325,61.41,A,compresseur,0
37.76,6.86,19.42,9.06,5.58,2,649,7,362.802536,55.84,C,compresseur,0
41.94,10.22,35.35,NA,6.94,10,721,0,193.152539,,C,convoyeur,0
48.42,15.94,49.27,1.15,12.37,3,412,14,322.322184,81.41,C,compresseur,0
94.16,4.46,39.98,0.89,8.52,12,536,3,866.897203,54.15,B,compresseur,0
50.31,1.07,38.8,8.98,11.32,23,687,4,175.635538,21.53,A,convoyeur,0
61.13,1.86,72.55,7.88,1.2,18,258,6,338.936812,20.73,A,compresseur,0
47.77,12.1,54.34,7.58,17.05,0,50,11,123.818358,83.22,B,compresseur,1
47.53,5.77,57.22,4.8,8.52,22,225,10,135.550649,54.71,B,compresseur,0
84.66,2.77,29.08,2.03,1.96,1,301,7,870.768529,92.91,A,,1
70.4,8.15,80.7,8.84,21.4,24,230,11,133.713029,64.62,B,compresseur,0
70.36,7.97,20.0,9.04,14.81,19,128,0,578.141582,27.2,C,convoyeur,0
