age,revenu_annuel,anciennete_emploi_mois,montant_credit,duree_credit_mois,taux_endettement,nb_credits_actifs,historique_impayes_24m,score_bureau,ratio_utilisation_cartes,nb_enfants,logement,defaut
28,94678.94,176,19700.34,58,0.52,3,9,810,0.3,1,locataire,0
43,90216.13,65,39960.24,27,0.48,6,2,553,0.79,0,locataire,1
52,12004.15,182,14371.15,33,0.5,3,4,724,0.32,0,proprietaire,0
27,80083.88,213,10760.02,79,0.26,5,2,508,0.05,5,locataire,0
53,54392.41,93,11365.09,58,0.62,3,3,718,0.1,5,famille,1
34,77753.49,225,13545.41,36,0.46,3,5,664,0.67,2,locataire,1
52,80511.47,105,37663.83,39,0.1,5,6,493,0.31,4,locataire,1
31,80372.58,204,38549.43,39,0.1,7,3,775,0.5,,famille,0
23,91681.9,112,23161.31,50,0.11,6,8,642,0.12,5,locataire,0
33,36305.64,158,37847.32,84,0.17,2,12,453,0.21,0,locataire,0
40,86820.44,117,8955.76,35,0.19,6,0,667,0.09,5,locataire,1
48,78427.13,12,18999.72,10,0.67,3,3,557,0.02,1,locataire,1
44,52197.53,7,32244.26,7,0.31,2,6,484,0.07,6,proprietaire,0
22,57264.07,169,24385.96,69,0.28,5,12,608,0.47,3,proprietaire,0
25,21405.32,184,11942.57,54,0.44,6,0,662,0.05,0,locataire,0
61,21576.2,134,2066.44,36,0.64,5,5,569,0.97,2,famille,1
29,NA,42,35339.71,73,0.38,2,11,520,0.59,6.84,proprietaire,0
42,55184.7,213,19893.41,77,0.53,1,7,487,0.41,0,famille,1
35,58533.08,109,16318.16,17,0.45,7,12,727,0.87,4,famille,0
32,90589.27,145,39864.7,42,0.15,7,4,432,0.39,1,proprietaire,1
36,37393.24,86,9950.07,33,0.21,5,8,673,0.39,0,famille,0
56,78331.31,98,27817.73,46,0.14,3,3,702,0.31,3,famille,1
28,58942.04,95,14283.75,48,0.67,1,9,560,0.97,6,locataire,0
51,60743.7,164,42288.78,60,0.42,7,8,742,0.37,1,locataire,1
65,74936.27,32,12864.2,71,0.07,3,0,NA,0.13,5,famille,1
65,91635.0,74,11120.18,16,0.57,1,1,663,0.99,5,locataire,1
57,33983.93,17,12129.95,81,0.27,4,2,631,0.75,4,locataire,0
41,57541.89,60,18791.37,74,0.66,5,2,770,0.32,6,locataire,0
28,60660.12,12,26346.31,68,0.59,0,1,772,0.87,1,proprietaire,0
62,49015.26,121,12246.41,45,0.31,6,2,803,0.38,1,proprietaire,1
59,80427.62,79,7158.08,58,0.55,1,9,472,0.82,6,proprietaire,1
25,14215.59,191,24078.65,NA,0.51,4,2,462,0.46,6,famille,0
55,26736.38,99,5247.82,69,0.08,6,7,551,0.64,2,,0
58,35327.56,147,21701.41,29,0.54,0,12,643,0.66,3,locataire,1
31,87838.88,149,3626.88,36,0.59,6,12,695,0.98,3,proprietaire,0
50,15162.2,99,37443.31,83,0.6,0,10,442,0.97,4,locataire,0
32,60599.43,233,33193.14,45,0.19,2,5,656,0.78,0,locataire,0
62,42062.29,44,9129.35,56,0.25,7,6,699,0.61,1,proprietaire,1
65,94521.11,168,12172.48,47,0.6,4,10,793,0.23,0,proprietaire,1
33,56408.1,141,20917.89,52,0.57,4,NA,762,0.56,0,locataire,0
30,93216.95,204,2864.49,31,0.26,5,1,775,0.29,,famille,1
25,79817.44,103,17441.17,13,0.66,5,11,416,0.81,1,locataire,0
64,27392.91,140,37247.88,55,0.16,0,6,603,0.55,2,proprietaire,1
23,73673.03,4,25390.44,23,0.62,5,9,453,0.53,5,locataire,0
31,40772.08,75,14878.43,30,0.64,2,6,570,0.98,1,proprietaire,0
54,21743.98,42,39961.41,25,0.06,5,12,760,0.86,1,locataire,0
42,86886.33,202,27839.33,80,0.12,1,7,750,0.67,4,famille,1
64,53813.69,110,1852.11,52,0.42,0,12,631,0.53,4,proprietaire,1
45,17701.24,126,14416.53,30,0.56,7,1,719,0.64,3,proprietaire,0
62,68474.8,202,29988.18,32,0.52,6,6,758,0.44,0,famille,1
68,71457.99,39,32283.15,26,0.6,5,3,636,0.31,6,proprietaire,1
56,52118.58,38,26918.05,30,0.17,7,5,513,0.15,2,proprietaire,1
53,63017.16,55,17508.42,74,0.69,1,9,689,0.44,2,famille,1
51,19634.42,158,1220.83,59,0.46,3,9,597,0.46,6,famille,0
30,22558.38,187,27668.76,82,0.3,4,10,724,0.16,4,locataire,0
48,69793.82,55,18969.27,82,0.51,1,12,627,3.96,2,locataire,1
60,42132.09,13,39816.61,7,0.21,1,9,430,0.1,0,famille,1
43,73151.07,110,33538.78,21,0.09,1,6,537,0.36,0,locataire,1
48,60654.09,114,11877.97,37,0.49,6,4,560,0.83,1,proprietaire,1
35,81389.77,57,20382.84,77,0.28,3,0,810,0.24,2,locataire,0
62,45542.4,107,9482.54,57,0.38,6,10,817,0.35,4,proprietaire,1
24,92519.07,120,28316.61,NA,0.2,0,10,753,0.05,1,famille,0
63,69382.04,0,2901.35,62,0.41,6,5,652,0.84,1,famille,1
57,50235.74,114,40961.33,82,0.54,0,1,687,0.31,6,famille,1
54,21377.45,236,38025.18,69,0.52,3,1,551,0.36,6,famille,1
61,67000.79,116,36900.55,81,0.52,4,7,552,0.58,5,locataire,1
62,54176.31,45,4943.19,12,0.28,5,4,731,0.69,5,proprietaire,1
42,62779.02,83,24276.79,26,0.14,5,2,420,0.85,4,proprietaire,0
57,36055.96,47,33539.49,53,0.18,5,4,622,0.93,5,locataire,1
63,51017.37,196,38155.4,67,0.54,7,1,710,0.74,4,locataire,1
45,90975.75,43,25434.24,68,0.07,7,8,559,0.3,5,locataire,1
31,50709.41,70,35927.2,49,0.56,1,9,438,0.53,5,famille,0
39,17786.38,135,15859.65,6,0.26,7,0,704,0.54,2,locataire,0
,20912.42,136,1708.3,57,0.17,7,9,775,0.29,0,proprietaire,0
46,"16737,20",53,42150.15,30,0.57,5,7,595,0.16,3,locataire,0
26,68078.44,192,8943.96,28,0.19,0,12,,0.03,4,locataire,0
67,73692.43,4,31679.82,67,0.2,6,8,784,0.04,6,famille,1
52,63865.15,49,7107.17,17,0.11,1,2,808,0.68,0,famille,1
48,86327.42,193,35147.82,6,0.61,0,9,806,0.58,5,locataire,1
35,44351.29,121,20252.09,24,0.22,0,1,711,0.97,6,famille,0
52,18792.69,190,29959.22,49,"0,67",0,2,484,0.63,5,locataire,0
30,24854.63,10,2120.9,29,0.39,4,6,741,0.07,2,,0
23,15641.1,202,30374.07,43,0.63,0,3,429,0.38,2,locataire,0
27,87485.35,21,6233.29,72,0.13,3,4,475,0.09,5,famille,0
40,80779.76,77,1122.74,71,0.46,7,10,452,0.08,4,locataire,1
25,72881.3,54,33553.72,62,0.14,7,7,627,0.77,0,proprietaire,0
31,40387.38,32,29356.41,78,0.18,1,4,417,0.49,5,famille,0
41,14847.72,"24,00",24962.34,55,0.45,6,10,743,0.81,3,locataire,0
59,58378.63,220,6874.81,7,0.07,1,12,619,,1,proprietaire,1
64,45716.19,234,30513.13,30,0.18,3,11,633,0.39,3,proprietaire,1
32,NA,90,29581.8,19,0.33,6,6,540,0.26,4,locataire,0
46,89188.96,51,37159.19,18,0.5,5,5,582,0.7,1,locataire,1
50,41191.97,110,12104.6,10,0.41,0,2,732,0.4,1,locataire,0
34,88686.77,202,11257.99,47,0.38,0,2,500,0.73,5,proprietaire,1
51,51368.22,193,15634.63,80,0.56,6,5,605,0.91,1,proprietaire,1
53,13506.92,222,33463.35,49,0.51,2,2,730,0.15,5,proprietaire,1
62,26085.16,674.97,26965.33,60,0.72,6,NA,819,0.11,2,famille,1
62,32591.44,63,31419.72,79,0.16,5,7,754,0.76,1,locataire,1
64,29617.9,4,17089.64,50,0.19,1,8,593,0.89,3,locataire,1
58,39703.09,103,21477.87,72,0.48,2,8,806,0.91,4,locataire,1
58,67661.16,208,42114.17,29,0.56,2,12,611,0.29,5,famille,1
34,23201.22,105,15358.31,42,0.1,0,11,421,0.13,5,famille,0
64,16052.33,16,19922.3,17,0.19,5,3,688,0.61,2,famille,0
40,26136.34,237,NA,55,0.33,4.6,7,720,0.49,6,famille,0
43,66492.09,216,11876.45,54,0.39,5,6,567,0.77,5,locataire,1
56,58636.11,215,36351.56,26,0.6,1,5,702,0.36,2,proprietaire,1
68,88413.89,198,6310.7,7,0.52,3,3,694,0.79,3,famille,1
54,53326.03,231,17153.75,17,0.68,2,10,402,0.33,1,locataire,1
31,58625.55,44,15289.61,27,0.24,7,5,414,0.65,0,famille,0
31,48573.01,9,22382.48,37,0.55,7,9,470,0.14,1,proprietaire,0
48,58847.21,58,35674.14,35,0.45,7,7,450,0.77,3,famille,0
37,59104.03,175,27602.08,84,0.19,7,1,587,0.49,0,famille,0
65,69402.55,26,11874.02,23,0.32,1,7,461,0.75,6,famille,1
37,84257.69,175,25318.26,83,0.32,4,10,,0.62,0,famille,1
44,62611.33,69,,53,0.7,3,5,756,0.69,5,famille,0
44,23424.27,86,27106.54,23,0.19,1,7,802,0.19,3,famille,0
58,73334.04,89,42066.5,69,0.48,4,9,664,0.2,5,famille,1
63,23588.21,13,17100.96,11,0.39,6,12,460,0.6,0,proprietaire,1
32,82126.35,141,7364.17,82,0.43,1,8,463,0.1,3,famille,0
34,80001.51,19,7126.55,59,0.47,5,1,440,0.37,6,proprietaire,0
43,92368.74,27,41178.37,13,0.55,3,5,609,0.91,1,locataire,1
60,32139.95,133,17578.1,35,0.17,1,5,812,0.2,6,locataire,1
37,91242.31,47,8974.47,13,0.08,2,2,416,0.14,5,proprietaire,0
24,35931.05,191,30654.66,43,0.35,2,3,659,0.26,4,proprietaire,0
33,50076.99,8,27501.45,46,0.29,7,7,610,0.97,1,famille,0
45,62184.74,92,1338.16,8,0.4,6,2,665,0.13,2,famille,1
61,43379.9,52,27532.48,58,0.43,4,11,770,0.54,0,locataire,1
62,67275.7,131,38569.4,72,0.58,6,3,654,0.29,6,locataire,1
63,65090.04,159,7627.15,36,0.3,1,1,685,0.49,2,locataire,1
34,60917.26,63,37519.6,11,0.49,6,10,601,0.42,2,locataire,0
66,56689.31,217,17426.32,15,0.31,2,12,402,0.66,1,proprietaire,1
58,86845.03,59,22943.14,78,0.28,5,11,437,0.38,4,proprietaire,1
29,31169.13,207,34379.88,25,0.48,3,0,550,0.47,0,famille,0
40,46018.4,31,44011.36,43,0.19,4,3,514,1.0,2,proprietaire,0
67,73544.7,155,1211.2,6,0.18,7,2,722,0.83,5,famille,1
46,79165.38,224,938.88,72,0.22,7,0,558,0.69,4,proprietaire,1
54,12075.07,134,26061.88,15,0.23,7,8,568,0.84,6,proprietaire,0
26,34077.89,216,16657.71,72,0.42,5,3,583,0.1,1,locataire,0
36,28456.06,211,8211.16,65,0.21,7,7,498,0.67,0,locataire,0
27,48194.87,47,35671.56,6,0.42,2,5,671,0.61,0,proprietaire,0
56,69696.58,87,17547.9,29,0.71,4,3,459,0.32,3,famille,1
56,35471.76,115,12687.85,30,0.36,5,1,792,0.84,4,famille,1
28,33247.58,121,21339.33,70,0.28,5,11,706,0.38,0,famille,0
50,32967.79,86,19500.42,82,0.3,4,6,461,0.43,1,famille,0
65,64801.65,175,38662.72,65,0.66,2,6,817,0.72,1,locataire,1
27,88629.67,67,18817.62,10,0.34,7,10,406,0.87,0,famille,0
,83108.34,66,43009.38,44,0.34,7,5,746,0.25,1,famille,1
25,20005.2,226,5591.58,45,0.52,5,5,731,0.59,0,famille,0
39,72397.76,65,32969.87,38,0.47,0,3,569,0.03,3,famille,0
27,41532.34,195,26689.61,65,0.22,7,9,723,0.74,0,proprietaire,0
55,13530.38,119,24033.94,37,0.66,7,1,675,0.14,1,famille,0
42,74857.17,240,40531.0,14,0.12,34.18,8,706,0.32,3,famille,1
64,26190.41,56,822.71,21,0.33,3,12,549,0.38,5,proprietaire,1
46,15088.03,46,32896.86,35,0.23,4,1,447,0.6,2,locataire,0
65,68068.47,45,7395.59,37,0.52,7,0,713,0.92,0,locataire,1
68,27019.8,30,28426.78,50,0.65,2,6,685,0.03,4,proprietaire,1
43,69197.83,17,23214.94,71,0.07,4,5,522,0.72,1,locataire,0
28,61719.8,36,41873.78,59,0.45,0,1,722,0.72,0,proprietaire,0
37,32200.74,237,26276.72,44,0.12,7,12,413,0.9,4,proprietaire,0
26,24386.78,7,14780.2,65,0.11,2,1,583,0.43,,proprietaire,0
51,30736.91,166,6323.0,6,0.43,7,0,646,0.8,0,famille,1
